t_s,regime,in_settle,anchored,consec_det,det,det_range_m,trk_range_m,trk_az,trk_el,coast,est_roll,est_pitch,est_yaw,thr,cmd_roll_rps,cmd_pitch_rps,cmd_yaw_rps,tsv_s
58.818,settle,1,0,1,1,9.01,9.01,-0.004,-0.008,0,+0.0000,+0.0000,+0.0000,0.266,+0.000,+0.000,-0.000,inf
58.860,settle,1,0,2,1,9.11,9.06,-0.004,-0.009,0,-0.0001,-0.3107,-0.0051,0.279,+0.000,+0.000,-0.000,inf
59.346,settle,1,1,3,1,10.37,9.72,+0.001,-0.014,0,-0.0002,-0.3106,-0.0040,0.279,+0.000,+0.000,-0.000,inf
59.825,pursuit,0,1,4,1,9.06,9.39,+0.005,-0.021,0,-0.0001,-0.3106,-0.0054,0.279,+0.030,-1.829,-0.074,inf
60.304,pursuit,0,1,5,1,8.98,9.18,+0.007,-0.032,0,+0.0001,-0.3106,-0.0101,0.276,+0.044,-3.737,-0.079,inf
60.763,pursuit,0,1,6,1,7.72,8.45,+0.006,-0.109,0,+0.0160,+0.5590,-0.0243,0.309,+0.051,-3.999,-0.072,inf
