k,phase,sim_time_ns,a_thrust,a_roll,a_pitch,a_yaw,cmd_wx,cmd_wy,cmd_wz,cmd_thrust,collective,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z
-1,boot,133937553000,,,,,0.0,0.0,0.0,1.5,0.3984,0.0,0.0,-0.0,-2.999157190322876,-0.002342820167541504,-9.34029769897461
-1,boot,133965317000,,,,,0.0,0.0,0.0,1.5,0.3984,-0.00830751657485962,-0.01089472696185112,-0.0033541852608323097,-2.975679397583008,0.07506608963012695,-8.356160163879395
-1,boot,133993074000,,,,,0.0,0.0,0.0,1.5,0.3984,0.0023984448052942753,0.00213480181992054,0.0005173237877897918,-0.00010418891906738281,0.00016307830810546875,-9.797279357910156
-1,boot,134013904000,,,,,0.0,0.0,0.0,1.5,0.3984,0.000702425604686141,0.003138048807159066,0.0008319850312545896,-0.0007462501525878906,6.461143493652344e-05,-13.213748931884766
-1,boot,134048674000,,,,,0.0,0.0,0.0,1.5,0.3984,-0.00019642693223431706,-0.00034771417267620564,0.00016210664762184024,-0.0020856857299804688,-2.3603439331054688e-05,-16.440828323364258
-1,boot,134076418000,,,,,0.0,0.0,0.0,1.5,0.3984,0.00013480326742865145,0.00017128091712947935,-0.00020876365306321532,-0.004148006439208984,1.6450881958007812e-05,-17.61357879638672
-1,boot,134097228000,,,,,0.0,0.0,0.0,1.5,0.3984,9.471483645029366e-05,0.00028887955704703927,-0.0001951416052179411,-0.0061588287353515625,1.2874603271484375e-05,-18.05591583251953
-1,boot,134125054000,,,,,0.0,0.0,0.0,1.5,0.3984,4.6036235289648175e-05,0.00016229970788117498,-3.037186797882896e-05,-0.009380817413330078,4.291534423828125e-06,-18.333587646484375
-1,boot,134152824000,,,,,0.0,0.0,0.0,1.5,0.3984,5.143632006365806e-05,0.00014367126277647913,5.8867313782684505e-05,-0.013380050659179688,4.76837158203125e-06,-18.421424865722656
-1,boot,134180586000,,,,,0.0,0.0,0.0,1.5,0.3984,4.547597200144082e-05,0.00013585689885076135,3.905871562892571e-05,-0.017890214920043945,4.76837158203125e-06,-18.41609764099121
-1,boot,134201375000,,,,,0.0,0.0,0.0,1.5,0.3984,4.008856194559485e-05,0.00012152796261943877,4.922583684674464e-06,-0.02187514305114746,-1.1920928955078125e-06,-18.37940216064453
-1,boot,134229206000,,,,,0.0,0.0,0.0,1.5,0.3984,3.615170862758532e-05,0.00010643726272974163,-1.623940988793038e-05,-0.027660131454467773,-5.4836273193359375e-06,-18.30795669555664
-1,boot,134257092000,,,,,0.0,0.0,0.0,1.5,0.3984,3.169094998156652e-05,9.432958904653788e-05,-9.464471077080816e-06,-0.03416252136230469,2.384185791015625e-06,-18.22177505493164
-1,boot,134277815000,,,,,0.0,0.0,0.0,1.5,0.3984,2.8859802114311606e-05,8.590170182287693e-05,-6.252485036384314e-07,-0.03948092460632324,-9.5367431640625e-06,-18.151334762573242
