sim_time_ns,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z
64765801000,0.0,0.0,-0.0,-2.999112844467163,-0.002356886863708496,-9.340312004089355
64772817000,0.0,0.0,-0.0,-2.999112844467163,-0.002356886863708496,-9.340312004089355
64779724000,0.0,0.0,-0.0,-2.999112844467163,-0.002356886863708496,-9.340312004089355
64793550000,0.0,0.0,-0.0,-2.999112844467163,-0.002356886863708496,-9.340312004089355
64800464000,0.0,0.0,-0.0,-2.999112844467163,-0.002356886863708496,-9.340312004089355
64807480000,0.0,0.0,-0.0,-2.999112844467163,-0.002356886863708496,-9.340312004089355
64814363000,0.0,0.0,-0.0,-2.999112844467163,-0.002356886863708496,-9.340312004089355
64821337000,0.0,0.0,-0.0,-2.999112844467163,-0.002356886863708496,-9.340312004089355
64835225000,0.0,0.0,-0.0,-2.999112844467163,-0.002356886863708496,-9.340312004089355
64842259000,0.0,0.0,-0.0,-2.999112844467163,-0.002356886863708496,-9.340312004089355
64849091000,0.0,0.0,-0.0,-2.999112844467163,-0.002356886863708496,-9.340312004089355
64856167000,0.0,0.0,-0.0,-2.999112844467163,-0.002356886863708496,-9.340312004089355
64862972000,0.0,0.0,-0.0,-2.999112844467163,-0.002356886863708496,-9.340312004089355
64876858000,0.0,0.0,-0.0,-2.999112844467163,-0.002356886863708496,-9.340312004089355
64883795000,0.0,0.0,-0.0,-2.999112844467163,-0.002356886863708496,-9.340312004089355
64890852000,0.0,0.0,-0.0,-2.999112844467163,-0.002356886863708496,-9.340312004089355
64897726000,0.0,0.0,-0.0,-2.999112844467163,-0.002356886863708496,-9.340312004089355
64911584000,0.0,0.0,-0.0,-2.999112844467163,-0.002356886863708496,-9.340312004089355
64918514000,0.0,0.0,-0.0,-2.999112844467163,-0.002356886863708496,-9.340312004089355
64925523000,0.0,0.0,-0.0,-2.999112844467163,-0.002356886863708496,-9.340312004089355
64932422000,0.0,0.0,-0.0,-2.999112844467163,-0.002356886863708496,-9.340312004089355
64939462000,0.0,0.0,-0.0,-2.999112844467163,-0.002356886863708496,-9.340312004089355
64953353000,0.0,0.0,-0.0,-2.999112844467163,-0.002356886863708496,-9.340312004089355
64960223000,0.0,0.0,-0.0,-2.999112844467163,-0.002356886863708496,-9.340312004089355
64967154000,0.0,0.0,-0.0,-2.999112844467163,-0.002356886863708496,-9.340312004089355
64974168000,0.0,0.0,-0.0,-2.999112844467163,-0.002356886863708496,-9.340312004089355
64988002000,0.0,0.0,-0.0,-2.999112844467163,-0.002356886863708496,-9.340312004089355
64994943000,0.0,0.0,-0.0,-2.999112844467163,-0.002356886863708496,-9.340312004089355
65001904000,0.0,0.0,-0.0,-2.999112844467163,-0.002356886863708496,-9.340312004089355
65008883000,0.0,0.0,-0.0,-2.999112844467163,-0.002356886863708496,-9.340312004089355
65022776000,0.0,0.0,-0.0,-2.999112844467163,-0.002356886863708496,-9.340312004089355
65029660000,0.0,0.0,-0.0,-2.999112844467163,-0.002356886863708496,-9.340312004089355
65036626000,0.0,0.0,-0.0,-2.999112844467163,-0.002356886863708496,-9.340312004089355
65043562000,0.0,0.0,-0.0,-2.999112844467163,-0.002356886863708496,-9.340312004089355
65050473000,0.0,0.0,-0.0,-2.999112844467163,-0.002356886863708496,-9.340312004089355
65064368000,0.0,0.0,-0.0,-2.999112844467163,-0.002356886863708496,-9.340312004089355
