t_s,regime,anchored,consec_det,det,det_range_m,trk_range_m,trk_az,trk_el,coast,est_roll,est_pitch,est_yaw,thr,cmd_roll_rps,cmd_pitch_rps,cmd_yaw_rps,tsv_s
65.843,settle,0,1,1,10.46,10.46,+0.007,-0.019,0,+0.0000,+0.0000,+0.0000,0.266,+0.000,+0.000,-0.000,inf
65.878,settle,0,2,1,10.22,10.34,+0.007,-0.019,0,+0.0000,-0.3107,-0.0100,0.279,+0.000,+0.000,-0.000,inf
66.364,settle,1,3,1,10.37,10.35,+0.007,-0.019,0,-0.0002,-0.3106,-0.0036,0.279,+0.000,+0.000,-0.000,inf
66.851,egress,1,4,1,10.23,10.29,+0.005,-0.024,0,-0.0002,-0.3106,-0.0041,0.276,-0.001,+1.500,-0.006,inf
67.337,pursuit,1,5,1,8.98,9.64,+0.007,-0.034,0,+0.0002,-0.3106,-0.0131,0.276,+0.021,+1.500,-0.085,inf
67.816,pursuit,1,6,1,7.69,8.67,+0.005,-0.007,0,+0.0043,-1.0490,-0.0194,0.525,+0.027,+1.500,-0.025,inf
68.309,reacq,1,0,0,-1.00,8.67,+0.005,-0.007,1,+2.9777,-1.3211,-2.9921,0.372,+0.000,+0.000,+0.000,inf
