t_s,regime,anchored,pass_armed,passing,gi,consec_det,det_range_m,trk_range_m,trk_az,trk_el,est_roll,est_pitch,est_yaw,thr,cmd_roll_rps,cmd_pitch_rps,cmd_yaw_rps,tsv_s,tick_dt_ms,nav_ms
58.5866,settle,0,0,0,0,1,10.3358,10.3358,0.0052,-0.0204,0.0000,0.0000,0.0000,0.2656,0.0000,0.0000,-0.0000,inf,0.0000,34.4562
58.6978,settle,0,0,0,0,2,10.2345,10.2851,0.0056,-0.0199,-0.0001,-0.3107,-0.0065,0.2778,0.0000,0.0000,-0.0000,inf,106.0288,507.9746
59.2119,settle,1,0,0,0,3,8.3207,9.3029,0.0035,-0.0305,0.0001,-0.3106,-0.0127,0.2623,0.0000,0.0000,-0.0000,inf,519.1914,482.3452
59.7050,egress,1,0,0,0,4,9.8842,9.5935,0.0063,-0.0316,0.0002,-0.3106,-0.0143,0.2623,0.0048,1.5000,-0.0162,inf,494.0505,455.4600
60.1774,pursuit,1,0,0,0,5,8.9607,9.2771,0.0054,-0.0424,0.0000,-0.3106,-0.0115,0.6000,0.0099,1.5000,-0.0434,inf,468.0457,469.1234
60.6566,reacq,1,0,0,0,0,-1.0000,9.2771,0.0054,-0.0424,0.0113,-1.0490,-0.0249,0.3718,0.0000,0.0000,-0.0000,inf,481.6419,450.6249
61.1079,reacq,1,0,0,0,0,-1.0000,9.2771,0.0054,-0.0424,3.0209,-1.3861,-3.0370,0.3718,0.0000,0.0000,0.0000,inf,457.5913,432.2774
61.5524,reacq,1,0,0,0,0,-1.0000,9.2771,0.0054,-0.0424,3.0266,-1.3825,-3.0432,0.3718,0.0000,0.0000,0.0000,inf,441.4703,427.0905
61.9899,reacq,1,0,0,0,0,-1.0000,9.2771,0.0054,-0.0424,3.0269,-1.3820,-3.0435,0.3718,0.0000,0.0000,0.0000,inf,436.9295,290.2056
62.2886,reacq,1,0,0,0,0,-1.0000,9.2771,0.0054,-0.0424,3.0296,-1.3819,-3.0464,0.3718,0.0000,0.0000,0.0000,inf,296.9017,301.5329
62.6011,reacq,1,0,0,0,0,-1.0000,9.2771,0.0054,-0.0424,3.0297,-1.3819,-3.0465,0.3718,0.0000,0.0000,0.0000,inf,307.8118,287.6661
62.8858,reacq,1,0,0,0,0,-1.0000,9.2771,0.0054,-0.0424,3.0297,-1.3819,-3.0465,0.3718,0.0000,0.0000,0.0000,inf,295.7226,335.0278
63.2332,reacq,1,0,0,0,0,-1.0000,9.2771,0.0054,-0.0424,3.0297,-1.3819,-3.0465,0.3718,0.0000,0.0000,0.0000,inf,343.0383,314.0149
63.5595,reacq,1,0,0,0,0,-1.0000,-1.0000,0.0000,0.0000,3.0297,-1.3819,-3.0465,0.3718,0.0000,0.0000,0.0000,inf,321.3191,283.7408
