sim_time_ns,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z
730621521000,0.00022797338897362351,0.0007642928976565599,-0.0036827288568019867,-0.7843776941299438,0.09056875109672546,-9.768860816955566
730628427000,-0.0009957854636013508,-0.0002448783488944173,0.0023577450774610043,-0.7679171562194824,-0.09097573161125183,-9.777833938598633
730635341000,0.0010824943892657757,0.002208882011473179,-0.0005766087560914457,-0.759053111076355,0.037685543298721313,-9.79752254486084
730649216000,1.2116186553612351e-05,0.00025892286794260144,-0.003835248528048396,-0.7936493754386902,0.1075604259967804,-9.780718803405762
730656210000,-0.0008783990051597357,-0.0009285765700042248,0.0025286246091127396,-0.7673685550689697,-0.09798002243041992,-9.779858589172363
730663088000,0.0009649193380028009,0.0015608350513502955,-0.0007716243271715939,-0.7618094682693481,0.045129865407943726,-9.798585891723633
730670087000,-0.0003299565287306905,0.0011230935342609882,-0.0009476677514612675,-0.7833079099655151,0.011017680168151855,-9.789512634277344
730676990000,-6.40074722468853e-05,-0.001280678203329444,0.0025326255708932877,-0.7949392795562744,-0.06105536222457886,-9.763415336608887
730690908000,-0.0010363268665969372,-0.0013910980196669698,0.002364738378673792,-0.7672179937362671,-0.09040820598602295,-9.775346755981445
730697983000,0.001066003693267703,0.0015029906062409282,-0.0005735085578635335,-0.7566853761672974,0.03759598731994629,-9.791807174682617
730704895000,-0.0002445693826302886,0.0012293332256376743,-0.0009382920688949525,-0.7834107875823975,0.01410791277885437,-9.788421630859375
730711811000,-0.00010027142707258463,-0.0011759044136852026,0.0025389238726347685,-0.794985294342041,-0.06021547317504883,-9.76208209991455
730725667000,-0.0010174914496019483,-0.0012007765471935272,0.0023593755904585123,-0.7674814462661743,-0.09044653177261353,-9.775825500488281
730732518000,0.0010711238719522953,0.0015209342818707228,-0.000576171325519681,-0.7575219869613647,0.037636399269104004,-9.791966438293457
730739536000,-0.00024096027482300997,0.001330066006630659,-0.0009358267416246235,-0.7829571962356567,0.014030516147613525,-9.789371490478516
730746431000,-0.00012555357534438372,-0.0011304933577775955,0.002542499452829361,-0.7952330708503723,-0.06006669998168945,-9.762176513671875
730760402000,-0.0010227999882772565,-0.0012579989852383733,0.0023563080467283726,-0.7681766748428345,-0.09032246470451355,-9.776203155517578
730767250000,0.0010650677140802145,0.0015035286778584123,-0.000575255777221173,-0.7572899460792542,0.037572264671325684,-9.792549133300781
730774274000,-8.343206718564034e-05,0.001168641960248351,-0.0007337876595556736,-0.782221257686615,0.009706109762191772,-9.78846263885498
730781164000,-6.769085302948952e-05,-0.0011718419846147299,0.0025711345952004194,-0.7959669828414917,-0.056487977504730225,-9.762441635131836
