k,phase,seg,sim_time_ns,a_thrust,a_roll,a_pitch,a_yaw,cmd_wx,cmd_wy,cmd_wz,cmd_thrust,collective,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z
-1,boot,boot,3785560000,,,,,0.0,0.0,0.0,1.5,0.3984,0.0,0.0,-0.0,-2.999157428741455,0.0008856058120727539,-9.34029769897461
-1,boot,boot,3813519000,,,,,0.0,0.0,0.0,1.5,0.3984,0.0012944312766194344,-0.005170701537281275,0.0031541893258690834,-2.9748895168304443,0.02164745330810547,-10.118844985961914
-1,boot,boot,3848216000,,,,,0.0,0.0,0.0,1.5,0.3984,-0.0014635873958468437,0.006563588045537472,-0.0006854396779090166,-0.0008764266967773438,-0.0001220703125,-12.229047775268555
-1,boot,boot,3868949000,,,,,0.0,0.0,0.0,1.5,0.3984,-0.0004590710159391165,0.0034474250860512257,-0.0006887432537041605,-0.001402139663696289,-4.792213439941406e-05,-14.82922077178955
-1,boot,boot,3896783000,,,,,0.0,0.0,0.0,1.5,0.3984,-0.00017779413610696793,0.0008738301694393158,-0.0001335840206593275,-0.0026345252990722656,-1.9311904907226562e-05,-16.823453903198242
-1,boot,boot,3917561000,,,,,0.0,0.0,0.0,1.5,0.3984,-0.00031100830528885126,0.0013617086224257946,0.0001556724455440417,-0.004350900650024414,-3.910064697265625e-05,-17.6158447265625
-1,boot,boot,3945361000,,,,,0.0,0.0,0.0,1.5,0.3984,-0.0002804058603942394,0.0014112892094999552,0.00017613155068829656,-0.0070345401763916016,-3.457069396972656e-05,-18.1524600982666
-1,boot,boot,3973133000,,,,,0.0,0.0,0.0,1.5,0.3984,-0.00022741872817277908,0.0011343257501721382,2.408279397059232e-05,-0.010490894317626953,-2.6226043701171875e-05,-18.368633270263672
-1,boot,boot,3993926000,,,,,0.0,0.0,0.0,1.5,0.3984,-0.0002109631896018982,0.001038004644215107,-4.6415021643042564e-05,-0.013414382934570312,-2.288818359375e-05,-18.421737670898438
-1,boot,boot,4021693000,,,,,0.0,0.0,0.0,1.5,0.3984,-0.00018798914970830083,0.000929926463868469,-4.4515050831250846e-05,-0.018062353134155273,-2.5987625122070312e-05,-18.415809631347656
-1,boot,boot,4042534000,,,,,0.0,0.0,0.0,1.5,0.3984,-0.00017000571824610233,0.0008442398975603282,-1.2978824088349938e-05,-0.022014617919921875,-1.8358230590820312e-05,-18.37916374206543
-1,boot,boot,4070333000,,,,,0.0,0.0,0.0,1.5,0.3984,-0.00015061121666803956,0.0007436900632455945,1.3501165085472167e-05,-0.02365255355834961,-2.3126602172851562e-05,-18.320175170898438
-1,boot,boot,4098141000,,,,,0.0,0.0,0.0,1.5,0.3984,-0.0001325903576798737,0.0006566085503436625,1.1232492397539318e-05,-0.03433370590209961,-1.4781951904296875e-05,-18.221139907836914
-1,boot,boot,4125878000,,,,,0.0,0.0,0.0,1.5,0.3984,-0.00011714850552380085,0.0005800018552690744,2.6044290279969573e-07,-0.04140424728393555,-1.71661376953125e-05,-18.126968383789062
-1,boot,boot,4153672000,,,,,0.0,0.0,0.0,1.5,0.3984,-0.00010316315456293523,0.0005115651292726398,-3.979577741120011e-06,-0.0493159294128418,-1.0013580322265625e-05,-18.027172088623047
-1,boot,boot,4181533000,,,,,0.0,0.0,0.0,1.5,0.3984,-9.11542447283864e-05,0.00045175652485340834,-1.8684295355342329e-06,-0.05854654312133789,-1.049041748046875e-05,-17.92212677001953
-1,boot,boot,4202290000,,,,,0.0,0.0,0.0,1.5,0.3984,-8.316335151903331e-05,0.00041108482400886714,8.254573913291097e-08,-0.06469941139221191,-6.67572021484375e-06,-17.845216751098633
-1,boot,boot,4230090000,,,,,0.0,0.0,0.0,1.5,0.3984,-7.351810927502811e-05,0.00036290596472099423,1.0685180313885212e-06,-0.0742192268371582,-4.76837158203125e-06,-17.738388061523438
-1,boot,boot,4250929000,,,,,0.0,0.0,0.0,1.5,0.3984,-6.666770786978304e-05,0.0003302390978205949,7.948838174343109e-07,-0.0793914794921875,-6.67572021484375e-06,-17.66381072998047
-1,boot,boot,4278682000,,,,,0.0,0.0,0.0,1.5,0.3984,-5.886483995709568e-05,0.000291702599497512,1.5548357623629272e-07,-0.09265995025634766,-2.1457672119140625e-06,-17.54654312133789
-1,boot,boot,4306460000,,,,,0.0,0.0,0.0,1.5,0.3984,-5.200809391681105e-05,0.0002575608668848872,-1.6160265658982098e-07,-0.10387730598449707,-5.4836273193359375e-06,-17.435272216796875
-1,boot,boot,4327314000,,,,,0.0,0.0,0.0,1.5,0.3984,-4.738041025120765e-05,0.00023428584972862154,-1.335465640295297e-07,-0.1128535270690918,-4.76837158203125e-06,-17.35077476501465
-1,boot,boot,4355043000,,,,,0.0,0.0,0.0,1.5,0.3984,-4.15197282563895e-05,0.0002068710746243596,1.4863690012134612e-07,-0.12543559074401855,-7.152557373046875e-07,-17.236682891845703
-1,boot,boot,4375886000,,,,,0.0,0.0,0.0,1.5,0.3984,-3.800589183811098e-05,0.0001884729863377288,7.728885975666344e-08,-0.1350691318511963,4.291534423828125e-06,-17.150863647460938
-1,boot,boot,4403712000,,,,,0.0,0.0,0.0,1.5,0.3984,-3.377921530045569e-05,0.00016636258806101978,-2.850356395356357e-08,-0.14848780632019043,2.86102294921875e-06,-17.03554916381836
-1,boot,boot,4431503000,,,,,0.0,0.0,0.0,1.5,0.3984,-2.9552647902164608e-05,0.0001468100381316617,-2.2128006094135344e-08,-0.16248011589050293,2.1457672119140625e-06,-16.919530868530273
-1,boot,boot,4459269000,,,,,0.0,0.0,0.0,1.5,0.3984,-2.639203012222424e-05,0.00012955395504832268,1.1149677447974682e-07,-0.17703843116760254,-2.384185791015625e-06,-16.802597045898438
-1,boot,boot,4480140000,,,,,0.0,0.0,0.0,1.5,0.3984,-2.398571086814627e-05,0.00011778587941080332,1.323969627264887e-07,-0.18826508522033691,-3.5762786865234375e-06,-16.714923858642578
-1,boot,boot,4507878000,,,,,0.0,0.0,0.0,1.5,0.3984,-2.086383756250143e-05,0.0001043440934154205,-6.36773620499298e-08,-0.20370745658874512,-1.6689300537109375e-06,-16.597328186035156
-1,boot,boot,4535669000,,,,,0.0,0.0,0.0,1.5,0.3984,-1.8405407899990678e-05,9.248082642443478e-05,-4.941648512613028e-08,-0.21983599662780762,1.430511474609375e-06,-16.478927612304688
-1,boot,boot,4556464000,,,,,0.0,0.0,0.0,1.5,0.3984,-1.6834295820444822e-05,8.367282862309366e-05,4.763569450005889e-08,-0.2321615219116211,5.245208740234375e-06,-16.390552520751953
-1,boot,boot,4584269000,,,,,0.0,0.0,0.0,1.5,0.3984,-1.5273668395821005e-05,7.40084215067327e-05,6.927712092874572e-08,-0.24908781051635742,4.76837158203125e-06,-16.27215576171875
-1,boot,boot,4612044000,,,,,0.0,0.0,0.0,1.5,0.3984,-1.3457760360324755e-05,6.530607788590714e-05,-5.650599632645026e-08,-0.26639294624328613,7.152557373046875e-07,-16.154094696044922
-1,boot,boot,4632924000,,,,,0.0,0.0,0.0,1.5,0.3984,-1.1795247701229528e-05,5.9323403547750786e-05,8.195365808205679e-08,-0.2796976566314697,-3.0994415283203125e-06,-16.065509796142578
-1,boot,boot,4660608000,,,,,0.0,0.0,0.0,1.5,0.3984,-1.0556559573160484e-05,5.254094867268577e-05,-7.05140337231569e-08,-0.2980532646179199,1.9073486328125e-06,-15.947224617004395
-1,boot,boot,4688450000,,,,,0.0,0.0,0.0,1.5,0.3984,-9.547646186547354e-06,4.649985203286633e-05,-8.455208444502205e-08,-0.3167266845703125,2.6226043701171875e-06,-15.829361915588379
-1,boot,boot,4709266000,,,,,0.0,0.0,0.0,1.5,0.3984,-8.504342986270785e-06,4.224670192343183e-05,5.876972863916308e-08,-0.33101391792297363,5.7220458984375e-06,-15.741241455078125
-1,boot,boot,4737035000,,,,,0.0,0.0,0.0,1.5,0.3984,-7.619371899636462e-06,3.707308860612102e-05,4.560843080980703e-08,-0.3503074645996094,1.430511474609375e-06,-15.624189376831055
-1,boot,boot,4771806000,,,,,0.0,0.0,0.0,1.5,0.3984,-6.4009491325123236e-06,3.201462823199108e-05,-4.606135917128995e-09,-0.38037431240081787,5.245208740234375e-06,-15.466400146484375
-1,boot,boot,4792682000,,,,,0.0,0.0,0.0,1.5,0.3984,-5.990286808810197e-06,2.8816783014917746e-05,-3.808509063674137e-09,-0.3903442621231079,0.0,-15.39155387878418
-1,boot,boot,4820433000,,,,,0.0,0.0,0.0,1.5,0.3984,-5.303754733176902e-06,2.585987931524869e-05,4.268258635420352e-08,-0.4108062982559204,2.86102294921875e-06,-15.2764253616333
-1,boot,boot,4848241000,,,,,0.0,0.0,0.0,1.5,0.3984,-4.3546242523007095e-06,2.2733805963071063e-05,-1.7615093383938074e-08,-0.43171072006225586,4.291534423828125e-06,-15.162016868591309
-1,boot,boot,4869024000,,,,,0.0,0.0,0.0,1.5,0.3984,-4.267130861990154e-06,2.10355701710796e-05,-1.4564648154191673e-08,-0.4476356506347656,-7.152557373046875e-07,-15.07662582397461
-1,boot,boot,4896916000,,,,,0.0,0.0,0.0,1.5,0.3984,-3.6895762605126947e-06,1.83390384336235e-05,6.66389041725779e-08,-0.4692641496658325,1.3113021850585938e-06,-14.963431358337402
-1,boot,boot,4924570000,,,,,0.0,0.0,0.0,1.5,0.3984,-3.22267078445293e-06,1.6271509593934752e-05,-2.3456777853425592e-08,-0.4909175634384155,2.6226043701171875e-06,-14.851517677307129
-1,boot,boot,4945475000,,,,,0.0,0.0,0.0,1.5,0.3984,-2.7795404093922116e-06,1.4987676877353806e-05,-1.9394974515307695e-08,-0.5076084136962891,3.5762786865234375e-06,-14.767963409423828
-1,boot,boot,4973186000,,,,,0.0,0.0,0.0,1.5,0.3984,-2.6883808459388092e-06,1.2971868272870779e-05,-1.5052364688017406e-08,-0.5297993421554565,4.5299530029296875e-06,-14.657965660095215
-1,boot,boot,4994035000,,,,,0.0,0.0,0.0,1.5,0.3984,-2.3424054234055802e-06,1.1764806913561188e-05,-1.2447571862139739e-08,-0.5467715263366699,-4.76837158203125e-07,-14.575922966003418
-1,boot,boot,5021823000,,,,,0.0,0.0,0.0,1.5,0.3984,-2.163552380807232e-06,1.0654325706127565e-05,-9.660197974881157e-09,-0.5696130990982056,3.5762786865234375e-07,-14.467401504516602
-1,boot,boot,5049625000,,,,,0.0,0.0,0.0,1.5,0.3984,-1.8301398085895926e-06,8.942833119363058e-06,-7.497305887227412e-09,-0.5926533937454224,8.344650268554688e-07,-14.360218048095703
-1,boot,boot,5077389000,,,,,0.0,0.0,0.0,1.5,0.3984,-1.8119571905117482e-06,7.856257070670836e-06,-5.818833415105473e-09,-0.6158561706542969,1.6689300537109375e-06,-14.254302024841309
-1,boot,boot,5098329000,,,,,0.0,0.0,0.0,1.5,0.3984,-1.5740210983494762e-06,7.111771537893219e-06,-4.811454346054234e-09,-0.6358809471130371,1.9073486328125e-06,-14.170936584472656
-1,boot,boot,5125992000,,,,,0.0,0.0,0.0,1.5,0.3984,-1.2530513231467921e-06,6.341368134599179e-06,-3.733589437615592e-09,-0.6572387218475342,2.6226043701171875e-06,-14.072027206420898
-1,boot,boot,5160669000,,,,,0.0,0.0,0.0,1.5,0.3984,-7.904459380370099e-07,5.746215265389765e-06,-9.119605692831101e-08,-0.6868994235992432,2.6226043701171875e-06,-13.944602012634277
-1,boot,boot,5181602000,,,,,0.0,0.0,0.0,1.5,0.3984,-6.529289748868905e-07,5.2069522098463494e-06,1.3070291515759891e-08,-0.704963207244873,2.6226043701171875e-06,-13.868791580200195
-1,boot,boot,5209301000,,,,,0.0,0.0,0.0,1.5,0.3984,-7.660678420506883e-07,4.477447873796336e-06,1.765617412274878e-07,-0.7290533781051636,3.2186508178710938e-06,-13.769335746765137
-1,boot,boot,5230278000,,,,,0.0,0.0,0.0,1.5,0.3984,-7.822372936061583e-07,4.169251951680053e-06,2.746720610957709e-07,-0.7473340034484863,3.6954879760742188e-06,-13.695655822753906
-1,boot,boot,5257947000,,,,,0.0,0.0,0.0,1.5,0.3984,-9.291018159274245e-07,3.666742259156308e-06,2.5090335498134664e-07,-0.7716917991638184,4.172325134277344e-06,-13.598651885986328
-1,boot,boot,5278754000,,,,,0.0,0.0,0.0,1.5,0.3984,-4.901471584162209e-07,3.2703201213735156e-06,1.161838554253336e-07,-0.7900280952453613,4.0531158447265625e-06,-13.526779174804688
-1,boot,boot,5306530000,,,,,0.0,0.0,0.0,1.5,0.3984,-9.801985925150802e-07,3.174453695464763e-06,2.0129277800151613e-08,-0.8146785497665405,-4.76837158203125e-07,-13.432449340820312
-1,boot,boot,5334337000,,,,,0.0,0.0,0.0,0.5,0.1328,-4.76953118777601e-07,2.6011227873823373e-06,1.5621935745002702e-08,-0.8395142555236816,-2.384185791015625e-07,-13.339303016662598
-1,boot,boot,5362071000,,,,,0.0,0.0,0.0,0.5,0.1328,-4.1548889839759795e-07,2.1426703824545257e-06,1.2123820170018007e-08,-0.863170862197876,9.5367431640625e-07,4.6273579597473145
-1,boot,boot,5382965000,,,,,0.0,0.0,0.0,0.5,0.1328,-5.306959565132274e-07,1.8845332760974998e-06,5.5663548437223653e-08,-0.8809139728546143,1.430511474609375e-06,13.61175537109375
