sim_time_ns,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z
774550423000,8.724835788598284e-05,4.0126604289980605e-05,-8.130908099701628e-06,-3.0001487731933594,-0.03701281547546387,-9.339715003967285
774557584000,-1.582838740432635e-05,-2.755158675427083e-05,5.237631285126554e-06,-3.00014066696167,-0.03525125980377197,-9.339865684509277
774571239000,-2.755415698629804e-05,-4.713814632850699e-06,5.065627192379907e-06,-2.999997615814209,-0.036083102226257324,-9.340055465698242
774578261000,8.630611409898847e-05,3.935522181564011e-05,-8.169590728357434e-06,-3.0001468658447266,-0.03700602054595947,-9.3397216796875
774585185000,-1.5854120647418313e-05,-2.7015417799702846e-05,5.275127477943897e-06,-3.0001344680786133,-0.035260796546936035,-9.33987045288086
774592173000,-2.9638185878866352e-05,-1.6928996046772227e-05,4.843170245294459e-06,-2.9999873638153076,-0.03600144386291504,-9.340097427368164
774605992000,8.75014957273379e-05,4.0606526454212144e-05,-8.104511834972072e-06,-3.0001449584960938,-0.03702056407928467,-9.339714050292969
774612953000,-1.6267811588477343e-05,-2.708002102735918e-05,5.251746188150719e-06,-3.0001392364501953,-0.03524672985076904,-9.339868545532227
774619846000,-2.551796569605358e-05,-1.6119265637826174e-05,5.128655175212771e-06,-2.999992847442627,-0.03601861000061035,-9.340100288391113
774626847000,-2.786551704048179e-05,-4.315208570915274e-06,5.085843895358266e-06,-2.999998092651367,-0.03607499599456787,-9.340057373046875
774633787000,8.756712486501783e-05,4.024967347504571e-05,-8.108559086394962e-06,-3.000145673751831,-0.03702056407928467,-9.339712142944336
774647635000,-2.5452351110288873e-05,-1.6476131349918433e-05,5.124609288031934e-06,-2.9999921321868896,-0.03601789474487305,-9.34010124206543
774654565000,-2.7953814424108714e-05,-4.808051016880199e-06,5.084807980892947e-06,-2.9999985694885254,-0.03607368469238281,-9.340058326721191
774661568000,8.760472701396793e-05,3.9862665289547294e-05,-8.103490472421981e-06,-3.000145435333252,-0.037021756172180176,-9.339713096618652
774668457000,-1.6198060620808974e-05,-2.7779584343079478e-05,5.247696208243724e-06,-3.0001392364501953,-0.035246968269348145,-9.339868545532227
774675492000,-2.5545499738655053e-05,-1.6566666090511717e-05,5.1235774662927724e-06,-2.9999918937683105,-0.036017417907714844,-9.34010124206543
774689328000,8.731218986213207e-05,3.991874473285861e-05,-8.134954441629816e-06,-3.0001487731933594,-0.03701317310333252,-9.339714050292969
774696331000,-1.5765466741868295e-05,-2.7684945962391794e-05,5.2335872169351205e-06,-3.0001399517059326,-0.03525137901306152,-9.339865684509277
774703182000,-2.6135172447538935e-05,-1.6827121726237237e-05,5.032271474192385e-06,-2.999990701675415,-0.0360109806060791,-9.34010124206543
774710272000,-2.758744449238293e-05,-4.68441066914238e-06,5.06055539517547e-06,-2.999997615814209,-0.03608202934265137,-9.340056419372559
774724073000,-1.5919795259833336e-05,-2.7031113859266043e-05,5.264981609798269e-06,-3.0001349449157715,-0.03526020050048828,-9.339871406555176
774730998000,-2.9671296942979097e-05,-1.6914493244257756e-05,4.8380979933426715e-06,-2.9999868869781494,-0.03600108623504639,-9.34009838104248
774737947000,-2.7898206099052913e-05,-3.957951776101254e-06,5.094962489238242e-06,-3.0000016689300537,-0.03608989715576172,-9.340063095092773
774744920000,8.756556053413078e-05,4.075632386957295e-05,-8.09436369308969e-06,-3.000145435333252,-0.037020206451416016,-9.339714050292969
774751803000,-1.551828427182045e-05,-2.6713318220572546e-05,5.259991667116992e-06,-3.000138759613037,-0.03525233268737793,-9.339864730834961
774765723000,-2.7928077543037944e-05,-4.211649866192602e-06,5.089887054054998e-06,-2.9999983310699463,-0.036081790924072266,-9.340056419372559
774772704000,8.753382280701771e-05,4.027907925774343e-05,-8.113630428852048e-06,-3.000145673751831,-0.03702092170715332,-9.339710235595703
774779670000,-1.6257321476587094e-05,-2.7571668397285976e-05,5.265927939035464e-06,-3.000141143798828,-0.0352473258972168,-9.339866638183594
