k,phase,seg,sim_time_ns,a_thrust,a_roll,a_pitch,a_yaw,cmd_wx,cmd_wy,cmd_wz,cmd_thrust,collective,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z
-1,boot,boot,3751067000,,,,,0.0,0.0,0.0,1.5,0.3984,0.0,0.0,-0.0,-2.999157428741455,0.00091552734375,-9.34029769897461
-1,boot,boot,3778832000,,,,,0.0,0.0,0.0,1.5,0.3984,0.0006500105373561382,-0.005939942318946123,0.0005027988227084279,-1.8546760082244873,0.015082985162734985,-9.496200561523438
-1,boot,boot,3799625000,,,,,0.0,0.0,0.0,1.5,0.3984,-0.0014485274441540241,0.005746191367506981,-0.0005301727214828134,-0.0005761384963989258,-0.00011360645294189453,-11.076154708862305
-1,boot,boot,3827526000,,,,,0.0,0.0,0.0,1.5,0.3984,-0.0005625865887850523,0.0035667656920850277,-0.0006810190388932824,-0.0013208389282226562,-6.103515625e-05,-14.820054054260254
-1,boot,boot,3855226000,,,,,0.0,0.0,0.0,1.5,0.3984,-0.0001161805703304708,0.0009381427080370486,-0.00012006367614958435,-0.002635478973388672,-1.621246337890625e-05,-16.81871223449707
-1,boot,boot,3876091000,,,,,0.0,0.0,0.0,1.5,0.3984,-0.00025334523525089025,0.0014146246248856187,0.00016189616871997714,-0.004213809967041016,-2.9325485229492188e-05,-17.61350440979004
-1,boot,boot,3903865000,,,,,0.0,0.0,0.0,1.5,0.3984,-0.00025151774752885103,0.0014642393216490746,0.0001735499536152929,-0.007053852081298828,-2.6941299438476562e-05,-18.151124954223633
-1,boot,boot,3924744000,,,,,0.0,0.0,0.0,1.5,0.3984,-0.00020678527653217316,0.0012343093985691667,5.717098247259855e-05,-0.00945734977722168,-2.384185791015625e-05,-18.333574295043945
-1,boot,boot,3952417000,,,,,0.0,0.0,0.0,1.5,0.3984,-0.0001829940010793507,0.001079948851838708,-4.797015571966767e-05,-0.013397455215454102,-2.5033950805664062e-05,-18.421588897705078
-1,boot,boot,3973475000,,,,,0.0,0.0,0.0,1.5,0.3984,-0.00016969209536910057,0.0009969816310331225,-5.177358980290592e-05,-0.025849103927612305,-2.2172927856445312e-05,-18.395450592041016
-1,boot,boot,4001080000,,,,,0.0,0.0,0.0,1.5,0.3984,-0.000148932624142617,0.0008777913171797991,-1.1876094504259527e-05,-0.022078514099121094,-2.2649765014648438e-05,-18.378986358642578
-1,boot,boot,4028978000,,,,,0.0,0.0,0.0,1.5,0.3984,-0.0001312302192673087,0.000773118925280869,1.3842596672475338e-05,-0.027770519256591797,-1.52587890625e-05,-18.307788848876953
-1,boot,boot,4049679000,,,,,0.0,0.0,0.0,1.5,0.3984,-0.00011944648576900363,0.0007046902319416404,1.3462318747770041e-05,-0.03262829780578613,-1.5020370483398438e-05,-18.243900299072266
-1,boot,boot,4077492000,,,,,0.0,0.0,0.0,1.5,0.3984,-0.00010565167758613825,0.0006220656214281917,2.338885678909719e-06,-0.03959989547729492,-1.4066696166992188e-05,-18.15115737915039
-1,boot,boot,4105231000,,,,,0.0,0.0,0.0,1.5,0.3984,-9.327760199084878e-05,0.0005486086593009531,-3.878973075188696e-06,-0.047238826751708984,-1.1920928955078125e-05,-18.05279541015625
-1,boot,boot,4133052000,,,,,0.0,0.0,0.0,1.5,0.3984,-8.185050683096051e-05,0.00048460206016898155,-2.582950401119888e-06,-0.05720400810241699,-6.67572021484375e-06,-17.945724487304688
-1,boot,boot,4160976000,,,,,0.0,0.0,0.0,1.5,0.3984,-7.271123467944562e-05,0.0004277158004697412,3.1478703022003174e-07,-0.06458544731140137,-5.0067901611328125e-06,-17.845518112182617
-1,boot,boot,4188561000,,,,,0.0,0.0,0.0,1.5,0.3984,-6.383145228028297e-05,0.000377397402189672,1.2486925697885454e-06,-0.0742499828338623,-9.5367431640625e-06,-17.738365173339844
-1,boot,boot,4209504000,,,,,0.0,0.0,0.0,1.5,0.3984,-5.814581527374685e-05,0.0003435541002545506,6.812770152464509e-07,-0.08188486099243164,-4.5299530029296875e-06,-17.656862258911133
-1,boot,boot,4237168000,,,,,0.0,0.0,0.0,1.5,0.3984,-5.138161941431463e-05,0.000303289300063625,-2.580782165750861e-07,-0.09253907203674316,-5.9604644775390625e-06,-17.54698944091797
-1,boot,boot,4258094000,,,,,0.0,0.0,0.0,1.5,0.3984,-4.6752451453357935e-05,0.0002761248324532062,-5.055444489698857e-07,-0.10104775428771973,-6.67572021484375e-06,-17.463403701782227
-1,boot,boot,4285807000,,,,,0.0,0.0,0.0,1.5,0.3984,-4.115671617910266e-05,0.00024369072343688458,-2.6101406547240913e-07,-0.11294031143188477,-3.814697265625e-06,-17.350526809692383
