t,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0.0,0.0,0.0,-0.02,0.0,0.0,0.0,-0.0,0.0,-0.99551,0.094704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5174413404464513e-06,6.351686993570372,9.09181915413726,9.230494251645291,0.0,0.0,0.0,0.0,0.0,0.0
0.016323412475321656,-4.869027368900249e-05,-0.0006684473460750732,-0.024524503290967475,-0.01208770903978452,-0.08759662803959344,-0.5527134409991906,0.041939310464740975,-0.027541814780745515,-0.9889334706329033,0.1396178116799076,10.998684766831666,10.99999715152093,5.747101404255832,0.0,0.0,0.0,0.0,0.0,0.0,4.895701378594253e-05,3.051621685302286e-06,0.8279995084656239,1.2823579805762066,0.0,0.0,0.0,0.0,0.0,0.0
0.03264682495064331,-0.00028912797295603445,-0.0021895206151765524,-0.035115080698442734,-0.018459376564023404,-0.09957458614032981,-0.7443551445984269,0.12521445608343537,-0.08630680290434822,-0.9620190673356248,0.22669757352661263,10.999995522992819,10.999998037336065,6.760259839714798,0.0,0.0,0.0,0.0,0.0,0.0,0.00013304410433997215,1.884915689772375e-05,1.024858949565778e-05,0.4994814739382989,0.0,0.0,0.0,0.0,0.0,0.0
0.04897023742596497,-0.0006133065113698382,-0.003844866516195621,-0.048626733337873054,-0.0215150749324691,-0.10336961933004475,-0.910945599606263,0.20509232112628076,-0.14838800432967825,-0.9164345555317828,0.30994490706148664,10.999994479774594,10.999998009839942,6.9999930749640535,0.0,0.0,0.0,0.0,0.0,0.0,9.229681582122963,9.230478632296972,7.024220306759145,7.463159800491691,0.0,0.0,0.0,0.0,0.0,0.0
0.06529364990128662,-0.0032797083405717094,-0.007832747413707083,-0.06772642244270122,-0.32054578510478465,-0.38865726604302775,-1.41291733453027,0.2835499958285162,-0.20168578764988274,-0.8545904548364668,0.38548332963708765,10.999994772102712,10.999997608638783,5.0926598878148255,0.0,0.0,0.0,0.0,0.0,0.0,9.229607103710492,9.230496128306346,3.9369475709537975,4.125447213370829,0.0,0.0,0.0,0.0,0.0,0.0
0.08161706237660828,-0.010952187627638117,-0.01609591826434407,-0.09377155049537686,-0.6295139616300095,-0.6229386815921196,-1.7629812662618356,0.36829669169292256,-0.2278961714386662,-0.7834665678771356,0.44564674233126417,10.999972076388213,10.999995333190686,0.10071624693787391,0.0,0.0,0.0,0.0,0.0,0.0,9.230497305687333,9.23048263393396,9.223287565180307,9.230458744967251,0.0,0.0,0.0,0.0,0.0,0.0
0.09794047485192993,-0.025236648015809368,-0.028804168887983435,-0.1251133178890899,-1.1298098019930038,-0.9290737426142216,-2.053965390361762,0.4555281940115698,-0.23361936989780013,-0.7040980840672938,0.4920995249762781,10.99992172793506,10.99999474092875,0.09724337877336064,0.0,0.0,0.0,0.0,0.0,0.0,9.23049822053828,9.223168093579435,9.230481727811878,9.230328650643921,0.0,0.0,0.0,0.0,0.0,0.0
0.11426388732725158,-0.04804636950502748,-0.046209314498048444,-0.16005317870491304,-1.668475591628334,-1.195289060550886,-2.2032181658842487,0.535404190293422,-0.23563149658565977,-0.6134506236413042,0.530564306363651,10.974527560076085,10.999992298456716,0.10067324668338286,0.0,0.0,0.0,0.0,0.0,0.0,9.230498455851523,7.574199248532871,9.230489486974383,7.5796422526659635,0.0,0.0,0.0,0.0,0.0,0.0
0.13058729980257325,-0.07934383267185069,-0.06734345448929126,-0.19639770351360547,-2.1659441009373004,-1.3831799609726627,-2.232719352278837,0.6017810314093872,-0.2472940958623099,-0.5262865913313546,0.547473875333171,5.23585043778351,10.999983213692945,0.10328212900362932,0.0,0.0,0.0,0.0,0.0,0.0,9.230498566964032,9.22686742995594,9.230487094688398,9.230473482275293,0.0,0.0,0.0,0.0,0.0,0.0
0.1469107122778949,-0.11912150268935341,-0.09105611514111345,-0.23233402057293337,-2.7053266425414093,-1.5075254919241632,-2.1570471650313,0.656046892264879,-0.2699651100706766,-0.4462266120446992,0.5455301322541509,5.216450106150055,10.999939094187852,0.10500788820154758,0.0,0.0,0.0,0.0,0.0,0.0,9.230498615508736,6.78169670300727,9.230475681000291,9.230487900353541,0.0,0.0,0.0,0.0,0.0,0.0
0.16323412475321655,-0.16726221446016312,-0.11606108147330035,-0.2666025831137836,-3.189801229439138,-1.5442223201542402,-2.0343511701020884,0.6899790120712207,-0.2947875595214785,-0.38206212857907074,0.5394977178433867,0.9110619430672303,6.7796481790470535,1.28066242969504,0.0,0.0,0.0,0.0,0.0,0.0,9.230498626422364,7.0571899663276945,9.230408823569075,9.230490974705917,0.0,0.0,0.0,0.0,0.0,0.0
0.1795575372285382,-0.22322350995442689,-0.14115029004746343,-0.29861606717929035,-3.6664307663163487,-1.5220997776494223,-1.8880275625199912,0.694074184615589,-0.32738322977219597,-0.3542106148215537,0.534430619876769,-2.948590876401761,2.9918751139884687,2.3240219268648783,0.0,0.0,0.0,0.0,0.0,0.0,9.23049860828103,9.230372723082658,7.783053712160048,9.230491333636753,0.0,0.0,0.0,0.0,0.0,0.0
0.19588094970385986,-0.2870691283664541,-0.16556643134503884,-0.3282571638774156,-4.1570132554641654,-1.466272753693329,-1.7456491518136465,0.6856049359032224,-0.3502052518536847,-0.34657056908885014,0.5359020377649878,-0.48314014235254665,0.4451030215348157,1.629160046109482,0.0,0.0,0.0,0.0,0.0,0.0,9.230498573978256,9.23044308236548,9.059148978695774,9.230491002061,0.0,0.0,0.0,0.0,0.0,0.0
0.2122043621791815,-0.3590938908393591,-0.1889570296081865,-0.355548001477203,-4.667889843483605,-1.3990612576390644,-1.598545651831792,0.6784636174841145,-0.3578381528700708,-0.34183201429600313,0.5429455314331652,-0.1919252853169663,0.14219608036319709,1.5469180488059586,0.0,0.0,0.0,0.0,0.0,0.0,9.230498526593557,9.230467251035844,9.230263038627566,9.230490368647168,0.0,0.0,0.0,0.0,0.0,0.0
0.22852777465450316,-0.43948465881030996,-0.21122743565852317,-0.3804426958290767,-5.181976944751376,-1.3293136683823648,-1.4518938990980792,0.6713813992039184,-0.3638146997934224,-0.337365020802426,0.5505185952864713,-0.194065126358641,0.13833703026039398,1.5468160897207606,0.0,0.0,0.0,0.0,0.0,0.0,9.23049846651588,9.23047875799941,9.230402971332019,9.230489449161038,0.0,0.0,0.0,0.0,0.0,0.0
0.24485118712982482,-0.5282729004351902,-0.23234626331128574,-0.40295626307917476,-5.696782552545138,-1.257978885072528,-1.3068114343365933,0.6641730487498441,-0.3697270102292952,-0.3328736904009518,0.5580064564681086,-0.19636247718356464,0.13470282371820438,1.5467753752785707,0.0,0.0,0.0,0.0,0.0,0.0,9.230498392713056,9.230485019855148,9.230443095255023,9.230488182299931,0.0,0.0,0.0,0.0,0.0,0.0
0.2611745996051465,-0.6254706081169129,-0.2522882401555798,-0.4231147906597534,-6.212338834553363,-1.1851349917441414,-1.1633556703620478,0.6568397446979455,-0.37557490007499666,-0.3283581916139321,0.5654077663234051,-0.19865661131801682,0.1311107484724977,1.5467503452395794,0.0,0.0,0.0,0.0,0.0,0.0,9.230498303616413,9.230488774004534,9.230460802774061,9.230486464506676,0.0,0.0,0.0,0.0,0.0,0.0
0.27749801208046815,-0.7310902990349809,-0.27102937896081625,-0.4409452786886267,-6.728677867382281,-1.1108615540048676,-1.0215808875805448,0.6493827829593724,-0.38135708411133745,-0.32381894992173743,0.5727216280756495,-0.20091420501399726,0.1275187864320825,1.546731232280638,0.0,0.0,0.0,0.0,0.0,0.0,9.23049819714277,9.230491194654775,9.230470306634565,9.230484132836752,0.0,0.0,0.0,0.0,0.0,0.0
0.2938214245557898,-0.8451450044770318,-0.28854700850131193,-0.4564755887874616,-7.245830546881719,-1.0352402766069975,-0.8815383196311706,0.6418035034575957,-0.3870720235651067,-0.31925645504487893,0.5799472626325145,-0.20312427599584917,0.12391225236150445,1.5467144516559912,0.0,0.0,0.0,0.0,0.0,0.0,9.230498070588306,9.230492844399555,9.230476012285836,9.23048093024236,0.0,0.0,0.0,0.0,0.0,0.0
0.31014483703111145,-0.9676482486348659,-0.3048198093654117,-0.4697343934597809,-7.763826358390054,-0.9583550787521368,-0.7432760628990722,0.6341032812415617,-0.3927181002003924,-0.31467121435708956,0.5870839372259423,-0.20528275326433695,0.120285651489445,1.54669814146564,0.0,0.0,0.0,0.0,0.0,0.0,9.230497920477628,9.230494018120257,9.230479684791245,9.2304764416828,0.0,0.0,0.0,0.0,0.0,0.0
0.3264682495064331,-1.0986140247354148,-0.3198278496690218,-0.48075112414427845,-8.28269327583198,-0.8802920283648914,-0.6068389934664834,0.6262835251924868,-0.3982936784096601,-0.3100637359203568,0.5941309379913536,-0.207388762772142,0.1166378276189096,1.546680948051842,0.0,0.0,0.0,0.0,0.0,0.0,9.230497742353421,9.23049488193595,9.230482152224921,9.230469972373895,0.0,0.0,0.0,0.0,0.0,0.0
0.34279166198175476,-1.2380567698288922,-0.33355261917697143,-0.48955591809131005,-8.802457697329222,-0.8011392187061959,-0.4722687036021438,0.6183456779712218,-0.40379713833491404,-0.30543452182548525,0.6010875530936252,-0.20944377552883425,0.11297055452345968,1.546661504135546,0.0,0.0,0.0,0.0,0.0,0.0,9.230497530484426,9.230495535061689,9.230483847229593,9.230460303241204,0.0,0.0,0.0,0.0,0.0,0.0
0.3591150744570764,-1.3859913386562956,-0.3459770611192,-0.49617956440719746,-9.323144397003833,-0.7209866110036067,-0.33960346355819643,0.6102912161173214,-0.4092269034194253,-0.30078406679938335,0.6079530559240685,-0.211451996649784,0.1092886011896665,1.546638019989938,0.0,0.0,0.0,0.0,0.0,0.0,9.230497277458191,9.230496039668239,9.230485014146348,9.230445165840413,0.0,0.0,0.0,0.0,0.0,0.0
0.37543848693239806,-1.5424329768082539,-0.3570856012036701,-0.5006534497633756,-9.844776487302854,-0.6399258479497051,-0.20887822083298999,0.6021216501014041,-0.41458147531285633,-0.29611286123997665,0.6147266809036781,-0.2134219818640197,0.10560110070811862,1.5466077078260163,0.0,0.0,0.0,0.0,0.0,0.0,9.230496973607801,9.23049643630078,9.23048579935877,9.230420018093259,0.0,0.0,0.0,0.0,0.0,0.0
0.3917618994077197,-1.7073972933146382,-0.36686417331304627,-0.5030095045800375,-10.367375389154327,-0.5580500312457247,-0.08012466423056497,0.5938385243082516,-0.4198594927727381,-0.2914214006317492,0.621407580119399,-0.21537054572209993,0.10192517631896612,1.5465656546554851,0.0,0.0,0.0,0.0,0.0,0.0,9.230496606194414,9.23049675230423,9.230486294961771,9.23037488103163,0.0,0.0,0.0,0.0,0.0,0.0
0.40808531188304137,-1.880900232708802,-0.3753002411472328,-0.5032801512122159,-10.89096080269707,-0.47545344020256164,0.04662858247727543,0.5854434169362676,-0.4250598507900719,-0.28671020813476933,0.6279947335476842,-0.21733231671490083,0.09829502181202565,1.5465021937862176,0.0,0.0,0.0,0.0,0.0,0.0,9.230496158223389,9.230497006653573,9.230486561912222,9.230285022330785,0.0,0.0,0.0,0.0,0.0,0.0
0.424408724358363,-2.0629580462193546,-0.3823828144655974,-0.501498257492064,-11.415550643469983,-0.3922311322071558,0.1713554653435635,0.5769379396668016,-0.43018198015280723,-0.2819798908824831,0.6344867365538375,-0.21938574866069596,0.09478686132993124,1.5463958128425532,0.0,0.0,0.0,0.0,0.0,0.0,9.23049560669834,9.230497212839527,9.23048664362971,9.23007837009803,0.0,0.0,0.0,0.0,0.0,0.0
0.4407321368336847,-2.2535872598278774,-0.38810245701652796,-0.4976971043846536,-11.94116076478977,-0.3084782642651579,0.2940311657416142,0.5683237362394453,-0.4352266221778995,-0.2772313003450875,0.6408812091826578,-0.22173648449643046,0.09159943326105362,1.546190423116139,0.0,0.0,0.0,0.0,0.0,0.0,9.23049491999116,9.230497380654903,9.230486575120286,9.229491600495859,0.0,0.0,0.0,0.0,0.0,0.0
0.4570555493090063,-2.4528046261532563,-0.39245127888597386,-0.49191039642474294,-12.467803417579864,-0.2242886348070713,0.41462780657631904,0.5596024744820343,-0.44019850689766366,-0.2724660975160051,0.6471727518854999,-0.22505343313127116,0.08938011464120053,1.5457035413171711,0.0,0.0,0.0,0.0,0.0,0.0,9.23049405377516,9.230497517334376,9.230486390036049,9.227199473122383,0.0,0.0,0.0,0.0,0.0,0.0
0.473378961784328,-2.660626970010559,-0.39542289293525607,-0.48417244395826226,-12.995476625784056,-0.13975055847739518,0.5330956606953423,0.5507757851860094,-0.44511902503185574,-0.267689484403437,0.6533432696119609,-0.23233090564153064,0.09103995339647082,1.5441164697169119,0.0,0.0,0.0,0.0,0.0,0.0,9.230492944463862,9.230497628294223,9.23048612600698,9.214900141307059,0.0,0.0,0.0,0.0,0.0,0.0
0.48970237425964963,-2.8770702796104035,-0.3970122644709347,-0.4745192741465772,-13.524087953986863,-0.054930539486110104,0.6492549965645619,0.5418445677785546,-0.4501029349661847,-0.26292741132601044,0.6593034116983629,-0.26111001129461336,0.11369128460966058,1.5366248369476734,0.0,0.0,0.0,0.0,0.0,0.0,9.230491498153928,9.230497717612694,9.230485823963763,9.20844229214263,0.0,0.0,0.0,0.0,0.0,0.0
