t_s,regime,anchored,consec_det,det,det_range_m,trk_range_m,trk_az,trk_el,coast,est_roll,est_pitch,est_yaw,thr,cmd_roll_rps,cmd_pitch_rps,cmd_yaw_rps,tsv_s
58.831,settle,0,1,1,9.77,9.77,+0.005,+0.057,0,+0.0000,+0.0000,+0.0000,0.266,+0.000,+0.000,-0.000,inf
58.873,settle,0,2,1,9.78,9.77,+0.005,+0.058,0,-0.0001,-0.3107,-0.0044,0.279,+0.000,+0.000,-0.000,inf
59.373,settle,0,0,0,-1.00,9.77,+0.005,+0.058,1,-0.0002,-0.3106,-0.0019,0.279,+0.000,+0.000,-0.000,inf
59.852,anchor,0,1,1,10.09,9.93,+0.005,+0.015,0,-0.0001,-0.3106,-0.0041,0.279,+0.000,+0.000,-0.000,inf
60.339,anchor,0,2,1,8.99,9.46,+0.007,-0.015,0,+0.0000,-0.3106,-0.0084,0.272,+0.000,+0.000,-0.000,inf
60.818,egress,1,3,1,7.66,8.56,+0.005,-0.035,0,+0.0000,-0.3106,-0.0084,0.272,+0.000,+1.500,-0.000,inf
61.311,egress,1,4,1,5.57,7.06,+0.007,-0.062,0,-0.0001,-0.3106,-0.0061,0.272,-0.005,+1.500,+0.022,inf
61.811,pursuit,1,5,1,2.78,4.92,+0.014,-0.064,0,-0.0063,-1.0813,+0.0011,0.517,+0.032,+1.500,-0.069,inf
62.276,reacq,1,0,0,-1.00,4.92,+0.014,-0.064,1,-3.0943,-1.3345,+3.0908,0.372,+0.000,+0.000,-0.000,inf
62.631,reacq,1,0,0,-1.00,4.92,+0.014,-0.064,2,+3.1393,-0.7786,-3.1284,0.372,+0.000,+0.000,-0.000,inf
