k,phase,sim_time_ns,a_thrust,a_roll,a_pitch,a_yaw,cmd_wx,cmd_wy,cmd_wz,cmd_thrust,collective,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z
-1,boot,1202432684000,,,,,0.0,0.0,0.0,1.5,0.3984,0.0,0.0,-0.0,-2.999187707901001,-0.0023273229598999023,-9.340288162231445
-1,boot,1202453471000,,,,,0.0,0.0,0.0,1.5,0.3984,-0.008300955407321453,-0.010884901508688927,-0.0033531554508954287,-2.9756484031677246,0.07502269744873047,-8.356171607971191
-1,boot,1202481278000,,,,,0.0,0.0,0.0,1.5,0.3984,0.0023900424130260944,0.0021254289895296097,0.0005173906683921814,-0.0001468658447265625,0.0001628398895263672,-9.79552173614502
-1,boot,1202509115000,,,,,0.0,0.0,0.0,1.5,0.3984,0.00017134053632616997,0.002145156031474471,0.0007598081137984991,-0.000812530517578125,1.621246337890625e-05,-14.078176498413086
-1,boot,1202536785000,,,,,0.0,0.0,0.0,1.5,0.3984,-0.0001955119369085878,-0.0003472976677585393,0.00016148897702805698,-0.002039670944213867,-2.3126602172851562e-05,-16.440732955932617
-1,boot,1202564609000,,,,,0.0,0.0,0.0,1.5,0.3984,0.00013455396401695907,0.00017078300879802555,-0.00020882536773569882,-0.004152774810791016,1.5735626220703125e-05,-17.613479614257812
-1,boot,1202592382000,,,,,0.0,0.0,0.0,1.5,0.3984,7.301958976313472e-05,0.00025759360869415104,-0.00015805099974386394,-0.006826639175415039,7.867813110351562e-06,-18.15151596069336
-1,boot,1202613209000,,,,,0.0,0.0,0.0,1.5,0.3984,4.608824383467436e-05,0.00016273841902147979,-3.0389732273761183e-05,-0.00943613052368164,-9.5367431640625e-07,-18.33329963684082
-1,boot,1202641111000,,,,,0.0,0.0,0.0,1.5,0.3984,5.1142764277756214e-05,0.00014334444131236523,5.8733079640660435e-05,-0.01326441764831543,-1.6689300537109375e-06,-18.421674728393555
-1,boot,1202661850000,,,,,0.0,0.0,0.0,1.5,0.3984,4.765228368341923e-05,0.00013991480227559805,4.952937160851434e-05,-0.016731739044189453,4.5299530029296875e-06,-18.422924041748047
-1,boot,1202689680000,,,,,0.0,0.0,0.0,1.5,0.3984,4.047981201438233e-05,0.00012168454850325361,4.888799594482407e-06,-0.02183389663696289,-9.5367431640625e-07,-18.379566192626953
-1,boot,1202717338000,,,,,0.0,0.0,0.0,1.5,0.3984,3.5727760405279696e-05,0.00010642853158060461,-1.6226364095928147e-05,-0.02770519256591797,-5.245208740234375e-06,-18.307857513427734
-1,boot,1202738247000,,,,,0.0,0.0,0.0,1.5,0.3984,3.3153031836263835e-05,9.72440029727295e-05,-1.2409787814249285e-05,-0.03261232376098633,-5.0067901611328125e-06,-18.24382972717285
-1,boot,1202766072000,,,,,0.0,0.0,0.0,1.5,0.3984,2.9028997232671827e-05,8.581600559409708e-05,-3.238556018914096e-07,-0.0707550048828125,-3.409385681152344e-05,-18.058242797851562
-1,boot,1202793852000,,,,,0.0,0.0,0.0,1.5,0.3984,2.5786728656385094e-05,7.565238047391176e-05,4.618148977897363e-06,-0.04720497131347656,-8.821487426757812e-06,-18.052480697631836
