k,phase,sim_time_ns,a_thrust,a_roll,a_pitch,a_yaw,cmd_wx,cmd_wy,cmd_wz,cmd_thrust,collective,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z
-1,boot,79665980000,,,,,0.0,0.0,0.0,1.5,0.3984,0.0,0.0,-0.0,-2.999192237854004,-0.0023337602615356445,-9.340286254882812
-1,boot,79686772000,,,,,0.0,0.0,0.0,1.5,0.3984,-0.0017592529766261578,-0.005075051449239254,-0.003062120173126459,-2.9728593826293945,-0.04128754138946533,-10.115316390991211
-1,boot,79714535000,,,,,0.0,0.0,0.0,1.5,0.3984,0.002007079776376486,0.0035140542313456535,0.0007271801587194204,-0.0003228187561035156,0.00015270709991455078,-11.076358795166016
-1,boot,79742269000,,,,,0.0,0.0,0.0,1.5,0.3984,-0.00016608665464445949,0.0011225660564377904,0.0006349363247863948,-0.001068115234375,-1.621246337890625e-05,-14.820158004760742
-1,boot,79763241000,,,,,0.0,0.0,0.0,1.5,0.3984,-0.0001946541597135365,-0.0003480183077044785,0.00015957566211000085,0.03252744674682617,5.245208740234375e-06,-16.52796745300293
-1,boot,79790988000,,,,,0.0,0.0,0.0,1.5,0.3984,0.00013554161705542356,0.0001720226719044149,-0.0002091375063173473,-0.004113674163818359,1.621246337890625e-05,-17.615957260131836
-1,boot,79818771000,,,,,0.0,0.0,0.0,1.5,0.3984,7.315989932976663e-05,0.00025634909979999065,-0.00015746035205665976,-0.0017113685607910156,1.2636184692382812e-05,-18.16785430908203
-1,boot,79846592000,,,,,0.0,0.0,0.0,1.5,0.3984,4.7061912482604384e-05,0.00014930948964320123,4.639126927941106e-06,-0.010353326797485352,3.814697265625e-06,-18.36871337890625
-1,boot,79867452000,,,,,0.0,0.0,0.0,1.5,0.3984,5.111607606522739e-05,0.00014350184937939048,5.8796285884454846e-05,-0.013266801834106445,-4.76837158203125e-07,-18.421794891357422
-1,boot,79895228000,,,,,0.0,0.0,0.0,1.5,0.3984,4.6116605517454445e-05,0.00013589336595032364,3.863581150653772e-05,-0.017879962921142578,-1.9073486328125e-06,-18.415985107421875
