k,phase,sim_time_ns,a_thrust,a_roll,a_pitch,a_yaw,cmd_wx,cmd_wy,cmd_wz,cmd_thrust,collective,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z
-1,boot,604015087000,,,,,0.0,0.0,0.0,1.5,0.3984,0.0,0.0,-0.0,-2.999192237854004,-0.0023328065872192383,-9.340286254882812
-1,boot,604042865000,,,,,0.0,0.0,0.0,1.5,0.3984,-0.001748603768646717,-0.005070930812507868,-0.0030596668366342783,-2.973092555999756,-0.041217803955078125,-10.117788314819336
-1,boot,604070674000,,,,,0.0,0.0,0.0,1.5,0.3984,0.001992258243262768,0.0035153881181031466,0.0007283550803549588,0.007664203643798828,0.00016009807586669922,-11.084686279296875
-1,boot,604091567000,,,,,0.0,0.0,0.0,1.5,0.3984,0.0001712101511657238,0.0021417629905045033,0.0007596464129164815,-0.0008530616760253906,1.621246337890625e-05,-14.07989501953125
-1,boot,604119240000,,,,,0.0,0.0,0.0,1.5,0.3984,-0.0001956121705006808,-0.00034742685966193676,0.0001613713102415204,-0.002002239227294922,-2.4080276489257812e-05,-16.441753387451172
-1,boot,604147061000,,,,,0.0,0.0,0.0,1.5,0.3984,0.00013449403923004866,0.0001713840028969571,-0.00020883056276943535,-0.00413060188293457,-2.1457672119140625e-06,-17.613903045654297
-1,boot,604174835000,,,,,0.0,0.0,0.0,1.5,0.3984,7.329287473112345e-05,0.00025696688680909574,-0.00015814549988135695,-0.006875514984130859,9.059906005859375e-06,-18.151582717895508
-1,boot,604202576000,,,,,0.0,0.0,0.0,1.5,0.3984,4.652456846088171e-05,0.00014921321417205036,4.250034180586226e-06,-0.010254383087158203,6.198883056640625e-06,-18.368602752685547
-1,boot,604230347000,,,,,0.0,0.0,0.0,1.5,0.3984,5.109381163492799e-05,0.00014390326396096498,6.123449566075578e-05,-0.01438140869140625,4.0531158447265625e-06,-18.426605224609375
-1,boot,604251206000,,,,,0.0,0.0,0.0,1.5,0.3984,4.606218135450035e-05,0.0001355183485429734,3.888708306476474e-05,-0.017908334732055664,0.0,-18.41594886779785
-1,boot,604279009000,,,,,0.0,0.0,0.0,1.5,0.3984,3.912633110303432e-05,0.00011689600069075823,-3.7847185012651607e-06,-0.023269176483154297,-7.3909759521484375e-06,-18.363449096679688
-1,boot,604299867000,,,,,0.0,0.0,0.0,1.5,0.3984,3.581016062526032e-05,0.00010647771705407649,-1.6284067896776833e-05,-0.027685880661010742,-5.7220458984375e-06,-18.30779457092285
-1,boot,604327629000,,,,,0.0,0.0,0.0,1.5,0.3984,3.170679701725021e-05,9.441588190384209e-05,-9.440477697353344e-06,-0.034282684326171875,4.0531158447265625e-06,-18.221399307250977
-1,boot,604355466000,,,,,0.0,0.0,0.0,1.5,0.3984,2.8104797820560634e-05,8.322879148181528e-05,1.7354013834847137e-06,-0.04146528244018555,2.6226043701171875e-06,-18.126869201660156
-1,boot,604376325000,,,,,0.0,0.0,0.0,1.5,0.3984,2.5473455025348812e-05,7.567138527520001e-05,4.458114744920749e-06,-0.0471036434173584,-7.62939453125e-06,-18.052988052368164
-1,boot,604404076000,,,,,0.0,0.0,0.0,1.5,0.3984,2.250049146823585e-05,6.729259621351957e-05,2.176842372136889e-06,-0.04988598823547363,-3.337860107421875e-06,-17.967042922973633
-1,boot,604431810000,,,,,0.0,0.0,0.0,1.5,0.3984,1.9966886611655354e-05,5.870683889952488e-05,-5.465612957777921e-07,-0.06450414657592773,-5.4836273193359375e-06,-17.845783233642578
-1,boot,604452607000,,,,,0.0,0.0,0.0,1.5,0.3984,1.82113544724416e-05,5.3682742873206735e-05,-1.0790336091304198e-06,-0.07156920433044434,-1.430511474609375e-06,-17.765962600708008
-1,boot,604480395000,,,,,0.0,0.0,0.0,1.5,0.3984,1.578351657371968e-05,4.7428606194444e-05,-4.864787115366198e-07,-0.08188462257385254,-9.775161743164062e-06,-17.656749725341797
-1,boot,604508287000,,,,,0.0,0.0,0.0,1.5,0.3984,1.4221222954802215e-05,4.2044361180160195e-05,7.343851393670775e-08,-0.09247422218322754,-6.67572021484375e-06,-17.547199249267578
-1,boot,604528999000,,,,,0.0,0.0,0.0,1.5,0.3984,1.2984361092094332e-05,3.7871879612794146e-05,2.752462933131028e-07,-0.10097813606262207,-1.1444091796875e-05,-17.463489532470703
-1,boot,604556839000,,,,,0.0,0.0,0.0,1.5,0.3984,1.1220610758755356e-05,3.357215609867126e-05,2.0061861505382694e-07,-0.11276912689208984,-6.198883056640625e-06,-17.35102653503418
-1,boot,604584661000,,,,,0.0,0.0,0.0,1.5,0.3984,1.0062285582534969e-05,2.9578121029771864e-05,7.002472557360306e-08,-0.1251354217529297,-1.1205673217773438e-05,-17.237512588500977
-1,boot,604605422000,,,,,0.0,0.0,0.0,1.5,0.3984,8.840508598950692e-06,2.7074063837062567e-05,-6.815162123530172e-08,-0.13472986221313477,-1.6689300537109375e-06,-17.151857376098633
-1,boot,604633228000,,,,,0.0,0.0,0.0,1.5,0.3984,7.659709808649495e-06,2.378244425926823e-05,-9.06279638002161e-08,-0.14818811416625977,-5.7220458984375e-06,-17.03645133972168
-1,boot,604667887000,,,,,0.0,0.0,0.0,1.5,0.3984,6.817075700382702e-06,2.0558389223879203e-05,-2.3178472474683076e-08,-0.16574621200561523,-1.0013580322265625e-05,-16.89102554321289
-1,boot,604688796000,,,,,0.0,0.0,0.0,1.5,0.3984,6.353193384711631e-06,1.8470054783392698e-05,1.095212383006583e-07,-0.17670202255249023,-4.76837158203125e-07,-16.803571701049805
-1,boot,604716477000,,,,,0.0,0.0,0.0,1.5,0.3984,5.429761586128734e-06,1.6494306692038663e-05,7.70935457694577e-08,-0.19169139862060547,-3.0994415283203125e-06,-16.68644142150879
-1,boot,604744334000,,,,,0.0,0.0,0.0,1.5,0.3984,4.84440170112066e-06,1.4729206668562256e-05,-2.3544771465822123e-08,-0.20736384391784668,-5.7220458984375e-06,-16.568614959716797
-1,boot,604765099000,,,,,0.0,0.0,0.0,1.5,0.3984,4.832771992369089e-06,1.2933387552038766e-05,-5.967217475699726e-08,-0.21936798095703125,-7.3909759521484375e-06,-16.480239868164062
-1,boot,604793015000,,,,,0.0,0.0,0.0,1.5,0.3984,3.8332163967425e-06,1.1761303539969958e-05,8.236952453444246e-08,-0.23598814010620117,-8.821487426757812e-06,-16.361658096313477
-1,boot,604820705000,,,,,0.0,0.0,0.0,1.5,0.3984,3.6096662370255217e-06,1.0322373782400973e-05,5.602123565040529e-08,-0.2529633045196533,-1.0967254638671875e-05,-16.24340057373047
-1,boot,604841662000,,,,,0.0,0.0,0.0,1.5,0.3984,3.176562131557148e-06,9.34142735786736e-06,6.114476036600536e-09,-0.26616406440734863,-1.9073486328125e-06,-16.154495239257812
-1,boot,604869311000,,,,,0.0,0.0,0.0,1.5,0.3984,2.5251747501897626e-06,8.375945981242694e-06,7.547328095824923e-09,-0.28381800651550293,-2.6226043701171875e-06,-16.03655433654785
-1,boot,604890319000,,,,,0.0,0.0,0.0,1.5,0.3984,2.385943844274152e-06,7.599286618642509e-06,-3.93985146729392e-08,-0.32866835594177246,-3.0040740966796875e-05,-15.871885299682617
-1,boot,604918014000,,,,,0.0,0.0,0.0,1.5,0.3984,2.4596674847998656e-06,6.746747203578707e-06,-2.047795533144381e-08,-0.3161311149597168,-4.76837158203125e-06,-15.830184936523438
-1,boot,604945933000,,,,,0.0,0.0,0.0,1.5,0.3984,1.6384228729293682e-06,5.9489452723937575e-06,6.205033287187689e-08,-0.33512067794799805,-5.9604644775390625e-06,-15.712808609008789
-1,boot,604966709000,,,,,0.0,0.0,0.0,1.5,0.3984,1.8034020285995211e-06,5.261512797005707e-06,-2.0605546069418779e-07,-0.349822998046875,-6.67572021484375e-06,-15.624775886535645
-1,boot,604994461000,,,,,0.0,0.0,0.0,1.5,0.3984,1.3156577551853843e-06,4.755373083753511e-06,-1.8712159999267897e-07,-0.36960744857788086,-7.62939453125e-06,-15.508085250854492
-1,boot,605022343000,,,,,0.0,0.0,0.0,1.5,0.3984,1.4642469068348873e-06,4.046500180265866e-06,2.1197962496444234e-08,-0.3897751569747925,-8.821487426757812e-06,-15.392136573791504
-1,boot,605043148000,,,,,0.0,0.0,0.0,1.5,0.3984,1.4263850971474312e-06,3.775110826609307e-06,1.462364025428542e-07,-0.4095480442047119,-1.2874603271484375e-05,-15.29543399810791
-1,boot,605070882000,,,,,0.0,0.0,0.0,1.5,0.3984,1.3111209682392655e-06,3.648107394838007e-06,6.002488817102858e-08,-0.4258112907409668,-9.775161743164062e-06,-15.191044807434082
