t,a_thrust,a_roll,a_pitch,a_yaw,seg,gate,src_k,kf_speed
1.8500,-0.55301200,0.02006369,-0.00000000,-0.00219745,g0,0,47,5.04
1.8750,-0.55492000,0.02066879,-0.00000000,0.00095541,g0,0,48,5.17
1.9000,-0.55807200,0.01875796,-0.00000000,0.00292994,g0,0,49,5.25
1.9250,-0.55421600,0.01732484,-0.00000000,0.00318471,g0,0,50,5.29
1.9500,-0.56044000,0.02273885,-0.00000000,0.00267516,g0,0,51,5.31
1.9750,-0.56044000,0.02273885,-0.00000000,0.00267516,g0,0,51,5.31
2.0000,-0.56044000,0.02273885,-0.00000000,0.00267516,g0,0,51,5.31
2.0250,-0.56044000,0.02273885,-0.00000000,0.00267516,g0,0,51,5.31
2.0500,-0.56698000,0.02993631,-0.00000000,0.00687898,g0,0,52,5.46
2.0750,-0.56614000,0.03369427,-0.00000000,0.01019108,g0,0,53,5.59
2.1000,-0.60754000,0.06324841,-0.00000000,0.00573248,g0,0,54,5.38
2.1250,-0.60754000,0.06324841,-0.00000000,0.00573248,g0,0,54,5.38
2.1500,-0.60754000,0.06324841,-0.00000000,0.00573248,g0,0,54,5.38
2.1750,-0.60731200,0.05028662,-0.00000000,0.01031847,g0,0,56,5.73
2.2000,-0.60731200,0.05028662,-0.00000000,0.01031847,g0,0,56,5.73
2.2250,-0.60731200,0.05028662,-0.00000000,0.01031847,g0,0,56,5.73
2.2500,-0.65336400,0.07671975,-0.00000000,0.01350318,g0,0,57,5.62
2.2750,-0.65336400,0.07671975,-0.00000000,0.01350318,g0,0,57,5.62
2.3000,-0.64977600,0.05719745,-0.00000000,0.01143312,g0,0,58,5.82
2.3250,-0.74647200,0.10041401,-0.00000000,-0.03324841,g0,0,59,5.86
2.3500,-0.74248800,0.10264331,-0.00000000,-0.03296178,g0,0,60,5.87
2.3750,-0.70710800,0.10636943,-0.00000000,-0.03659236,g0,0,61,5.85
2.4000,-0.70710800,0.10636943,-0.00000000,-0.03659236,g0,0,61,5.85
2.4250,-0.61101600,-0.02716561,-0.00000000,-0.02751592,g0,0,62,5.83
2.4500,-0.61101600,-0.02716561,-0.00000000,-0.02751592,g0,0,62,5.83
2.4750,-0.54414800,-0.15378981,-0.00000000,0.07544586,g0,0,63,5.78
2.5000,-0.54010000,-0.18646497,-0.00000000,0.08363057,g0,0,64,5.83
2.5250,-0.51066800,-0.20519108,-0.00000000,0.04270701,g0,0,65,5.77
2.5500,-0.51066800,-0.20519108,-0.00000000,0.04270701,g0,0,65,5.77
2.5750,-0.52479600,-0.14124204,-0.00000000,0.07522293,g0,0,66,5.91
2.6000,-0.52479600,-0.14124204,-0.00000000,0.07522293,g0,0,66,5.91
2.6250,-0.50650000,-0.15458599,-0.00000000,0.02815287,g0,0,67,6.00
2.6500,-0.50645200,-0.14378981,-0.00000000,0.02417197,g0,0,68,6.05
2.6750,-0.49977600,-0.20748408,-0.00000000,0.01124204,g0,0,69,5.56
2.7000,-0.49977600,-0.20748408,-0.00000000,0.01124204,g0,0,69,5.56
2.7250,-0.49977600,-0.20748408,-0.00000000,0.01124204,g0,0,69,5.56
2.7500,-0.60003600,0.15888535,-0.00000000,-0.00302548,g0,0,70,6.24
2.7750,-0.62691200,0.19815287,-0.00000000,-0.00710191,g0,0,71,6.41
2.8000,-0.68300000,0.28369427,-0.00000000,0.01910828,g0,0,72,6.45
2.8250,-0.82847600,0.40952229,-0.00000000,0.02076433,g0,0,73,6.53
