t,a_thrust,a_roll,a_pitch,a_yaw,seg,gate,src_k,kf_speed
1.8685,-0.55492000,0.02066879,-0.00000000,0.00095541,g0,0,48,5.17
1.8963,-0.55807200,0.01875796,-0.00000000,0.00292994,g0,0,49,5.25
1.9171,-0.55421600,0.01732484,-0.00000000,0.00318471,g0,0,50,5.29
1.9450,-0.56044000,0.02273885,-0.00000000,0.00267516,g0,0,51,5.31
2.0492,-0.56698000,0.02993631,-0.00000000,0.00687898,g0,0,52,5.46
2.0700,-0.56614000,0.03369427,-0.00000000,0.01019108,g0,0,53,5.59
2.0978,-0.60754000,0.06324841,-0.00000000,0.00573248,g0,0,54,5.38
2.1533,-0.61163200,0.06509554,-0.00000000,0.00869427,g0,0,55,5.70
2.1742,-0.60731200,0.05028662,-0.00000000,0.01031847,g0,0,56,5.73
2.2367,-0.65336400,0.07671975,-0.00000000,0.01350318,g0,0,57,5.62
2.2783,-0.64977600,0.05719745,-0.00000000,0.01143312,g0,0,58,5.82
2.3060,-0.74647200,0.10041401,-0.00000000,-0.03324841,g0,0,59,5.86
2.3269,-0.74248800,0.10264331,-0.00000000,-0.03296178,g0,0,60,5.87
2.3547,-0.70710800,0.10636943,-0.00000000,-0.03659236,g0,0,61,5.85
2.4102,-0.61101600,-0.02716561,-0.00000000,-0.02751592,g0,0,62,5.83
2.4658,-0.54414800,-0.15378981,-0.00000000,0.07544586,g0,0,63,5.78
2.4936,-0.54010000,-0.18646497,-0.00000000,0.08363057,g0,0,64,5.83
2.5144,-0.51066800,-0.20519108,-0.00000000,0.04270701,g0,0,65,5.77
2.5701,-0.52479600,-0.14124204,-0.00000000,0.07522293,g0,0,66,5.91
2.6047,-0.50650000,-0.15458599,-0.00000000,0.02815287,g0,0,67,6.00
2.6255,-0.50645200,-0.14378981,-0.00000000,0.02417197,g0,0,68,6.05
2.6533,-0.49977600,-0.20748408,-0.00000000,0.01124204,g0,0,69,5.56
2.7367,-0.60003600,0.15888535,-0.00000000,-0.00302548,g0,0,70,6.24
2.7644,-0.62691200,0.19815287,-0.00000000,-0.00710191,g0,0,71,6.41
2.7922,-0.68300000,0.28369427,-0.00000000,0.01910828,g0,0,72,6.45
2.8131,-0.82847600,0.40952229,-0.00000000,0.02076433,g0,0,73,6.53
2.8548,-0.91430000,0.47191083,-0.00000000,0.03856688,g0,0,74,6.48
2.8825,-0.95308800,0.48168790,-0.00000000,0.05197452,g0,0,75,6.44
2.9451,-0.62184000,0.00907643,-0.00000000,0.08210191,g1,1,76,6.43
2.9936,-0.56539200,-0.23178344,-0.00000000,0.02082803,g1,1,77,6.34
3.0283,-0.56926400,-0.26509554,-0.00000000,-0.04073248,g1,1,78,6.36
3.0561,-0.51896000,-0.23261146,-0.00000000,-0.08554140,g1,1,79,6.38
3.0770,-0.52070000,-0.18608280,-0.00000000,-0.04761146,g1,1,80,6.48
3.1186,-0.53224800,-0.15484076,-0.00000000,-0.02945860,g1,1,81,6.55
3.1882,-0.54458800,-0.10917197,-0.00000000,0.04280255,g1,1,82,6.69
3.2159,-0.54198400,-0.09363057,-0.00000000,0.06130573,g1,1,83,6.84
3.2645,-0.54555600,-0.09098726,-0.00000000,0.06589172,g1,1,84,6.95
3.2993,-0.54368400,-0.09350318,-0.00000000,0.05614650,g1,1,85,7.07
3.3270,-0.54740400,-0.09659236,-0.00000000,0.05245223,g1,1,86,7.10
3.3548,-0.54325200,-0.09254777,-0.00000000,0.04611465,g1,1,87,7.21
3.4451,-0.53640800,-0.08665605,-0.00000000,0.03321656,g1,1,88,7.34
3.4590,-0.53568000,-0.08649682,-0.00000000,0.03092357,g1,1,89,7.51
3.4869,-0.53922400,-0.08496815,-0.00000000,0.03194268,g1,1,90,7.49
3.5146,-0.46790400,-0.10722930,-0.00000000,0.04722930,g1,1,91,11.40
3.5632,-0.47148400,-0.09917197,-0.00000000,0.04496815,g1,1,92,7.72
3.5910,-0.46645200,-0.08592357,-0.00000000,0.04066879,g1,1,93,7.84
3.6535,-0.46822400,-0.06015924,-0.00000000,0.02391720,g1,1,94,8.05
3.7022,-0.47264000,-0.04920382,-0.00000000,0.01242038,g1,1,95,8.09
3.7369,-0.47956400,-0.04372611,-0.00000000,0.01105096,g1,1,96,8.21
3.7646,-0.48206800,-0.02767516,-0.00000000,0.01133758,g1,1,97,8.29
3.7924,-0.47729200,-0.02000000,-0.00000000,0.00891720,g1,1,98,8.94
3.8411,-0.47865600,-0.01429936,-0.00000000,0.00388535,g1,1,99,8.44
3.8897,-0.48458800,-0.00869427,-0.00000000,-0.00060510,g1,1,100,8.53
3.9243,-0.48625600,-0.00853503,-0.00000000,-0.00194268,g1,1,101,8.64
3.9660,-0.48557600,-0.00926752,-0.00000000,-0.00200637,g1,1,102,8.71
3.9939,-0.48989600,-0.01187898,-0.00000000,0.00038217,g1,1,103,8.78
4.0215,-0.48867200,-0.00678344,-0.00000000,-0.00350318,g1,1,104,8.82
4.0494,-0.48793600,-0.01197452,-0.00000000,-0.00165605,g1,1,105,8.88
4.1327,-0.49580400,-0.01955414,-0.00000000,0.00203822,g1,1,106,8.97
4.1605,-0.49413200,-0.02713376,-0.00000000,0.00283439,g1,1,107,9.04
4.1813,-0.49219600,-0.03200637,-0.00000000,0.00248408,g1,1,108,9.12
4.2230,-0.49550800,-0.02952229,-0.00000000,-0.00025478,g1,1,109,9.14
4.2508,-0.49274400,-0.04477707,-0.00000000,0.00073248,g1,1,110,9.20
4.3133,-0.49829600,-0.03133758,-0.00000000,-0.00512739,g1,1,111,9.28
4.3619,-0.51517600,-0.02624204,-0.00000000,-0.00742038,g1,1,112,9.34
4.3897,-0.51014400,-0.04512739,-0.00000000,-0.00525478,g1,1,113,9.42
4.4106,-0.51306400,-0.04792994,-0.00000000,-0.00375796,g1,1,114,9.42
4.4592,-0.52133600,-0.05458599,-0.00000000,-0.00570064,g1,1,115,9.45
4.5147,-0.53999200,-0.03079618,-0.00000000,-0.00984076,g1,1,116,9.51
4.5425,-0.54902400,-0.00968153,-0.00000000,-0.01410828,g1,1,117,9.55
4.5911,-0.55171200,-0.00955414,-0.00000000,-0.01601911,g1,1,118,9.56
4.6189,-0.55908800,-0.00722930,-0.00000000,-0.01707006,g1,1,119,9.58
4.6467,-0.55702400,-0.01254777,-0.00000000,-0.01824841,g1,1,120,9.58
4.7232,-0.57342800,-0.03831210,-0.00000000,-0.13550955,g1,1,121,9.60
4.7579,-0.55927200,-0.07582803,-0.00000000,-0.15028662,g1,1,122,9.62
4.7788,-0.56293600,-0.15156051,-0.00000000,-0.18837580,g1,1,123,9.65
4.8204,-0.64386000,-0.32888535,-0.00000000,-0.07455414,g1,1,124,9.65
4.8482,-0.72208800,-0.39703822,-0.00000000,-0.11267516,g1,1,125,9.67
4.9246,-0.69139200,-0.46401274,-0.00000000,-0.11665605,g1,1,126,9.62
4.9663,-0.68544000,-0.38684713,-0.00000000,-0.08410828,g1,1,127,9.50
5.0010,-0.68597200,-0.13751592,-0.00000000,-0.06143312,g1,1,128,9.47
5.0287,-0.78146000,0.32420382,-0.02331210,0.03464968,g1,1,129,9.37
5.0496,-0.85885200,0.17904459,-0.00000000,-0.03089172,g1,1,130,9.35
5.1052,-0.96223200,-0.05751592,-0.00000000,-0.10140127,g1,1,131,9.25
5.1677,-0.94998000,0.34570064,-0.00000000,-0.11340764,g2,2,132,9.06
5.1954,-0.94448400,0.34828025,-0.00000000,-0.10356688,g2,2,133,8.91
5.2232,-0.97001600,0.34054140,-0.00000000,-0.06149682,g2,2,134,8.93
5.2649,-0.96373200,0.34426752,-0.00000000,-0.03041401,g2,2,135,8.87
5.2927,-0.95512800,0.32366242,-0.00000000,-0.02939490,g2,2,136,8.70
5.3204,-0.95391600,0.34000000,-0.00000000,-0.04114650,g2,2,137,8.67
5.3482,-0.93866400,0.31684713,-0.00000000,-0.05640127,g2,2,138,8.62
5.4316,-0.94558000,0.14369427,-0.00000000,-0.04528662,g2,2,139,8.58
5.4593,-0.93758000,0.08324841,-0.00000000,-0.04117834,g2,2,140,8.55
5.4871,-0.90728400,0.09834395,-0.00000000,-0.06971338,g2,2,141,8.55
5.5082,-0.87997600,0.09245223,-0.00000000,-0.07035032,g2,2,142,5.63
5.5497,-0.84225200,0.06843949,-0.00000000,-0.04187898,g2,2,143,8.41
5.5775,-0.79231200,0.04993631,-0.00000000,-0.01156051,g2,2,144,8.34
5.6400,-0.67627200,0.01273885,-0.00000000,0.02328025,g2,2,145,8.24
5.6886,-0.61460800,-0.04216561,-0.00000000,0.03143312,g2,2,146,8.17
5.7164,-0.53334000,-0.09458599,-0.00000000,0.03283439,g2,2,147,8.19
5.7372,-0.47515600,-0.08643312,-0.00000000,0.02232484,g2,2,148,8.23
5.7790,-0.45513600,-0.61156051,-0.00000000,0.04764331,g2,2,149,8.28
5.8484,-0.42837600,-0.68382166,-0.00000000,-0.02050955,g2,2,150,8.54
5.8762,-0.45114000,-0.74904459,-0.00000000,-0.04054140,g2,2,151,8.83
5.9248,-0.69145600,-0.78410828,-0.00000000,-0.19417197,g2,2,152,9.09
5.9526,-0.67816800,-0.66624204,-0.00000000,-0.18936306,g2,2,153,9.27
5.9804,-0.70770800,-0.06496815,-0.34668790,0.06573248,g2,2,154,9.30
6.0709,-0.53192800,0.19792994,-0.07181529,0.22292994,g2,2,155,9.11
6.0987,-0.51576000,0.22722930,-0.00847134,0.21974522,g2,2,156,8.83
6.1196,-0.52788000,0.16764331,-0.00000000,0.13025478,g2,2,157,8.54
6.1473,-0.49175600,-0.02796178,-0.00000000,-0.00792994,g2,2,158,8.36
6.1890,-0.15930800,0.19334395,-0.13452229,-0.15308917,g3,3,159,8.05
6.2168,-0.21022400,0.17888535,-0.13815287,-0.20996815,g3,3,160,7.90
6.2723,-0.28997200,0.09073248,-0.09894904,-0.14882166,g3,3,161,7.58
6.3140,-0.31119200,0.05996815,-0.09525478,-0.12394904,g3,3,162,7.43
6.3418,-0.33567200,0.06901274,-0.08140127,-0.13474522,g3,3,163,7.43
6.3695,-0.34182000,0.09687898,-0.07815287,-0.15417197,g3,3,164,7.51
6.4182,-0.38312400,0.08464968,-0.05509554,-0.17340764,g3,3,165,7.58
6.4737,-0.42236400,0.06843949,-0.05165605,-0.14671975,g3,3,166,7.80
6.4945,-0.42094000,0.08735669,-0.07840764,-0.12601911,g3,3,167,7.98
6.5501,-0.44144000,0.22414013,-0.00019108,0.16366242,g3,3,168,8.14
6.5709,-0.44151200,0.21964968,-0.00000000,0.16910828,g3,3,169,8.30
6.5987,-0.45149600,0.18719745,-0.02060510,0.14391720,g3,3,170,8.45
6.6751,-0.49004400,0.14726115,-0.00000000,-0.02057325,g3,3,171,8.78
6.7029,-0.49459200,0.03471338,-0.00000000,-0.06716561,g3,3,172,9.09
6.7307,-0.48139200,0.03509554,-0.00000000,-0.07544586,g3,3,173,9.19
6.7515,-0.47373600,0.03691083,-0.00000000,-0.06872611,g3,3,174,9.32
6.8071,-0.47229200,0.06031847,-0.00000000,-0.04847134,g3,3,175,9.53
6.8279,-0.47460400,0.04971338,-0.00000000,-0.04455414,g3,3,176,9.72
6.8556,-0.47432800,0.05837580,-0.00000000,-0.04168790,g3,3,177,9.86
6.9043,-0.48133200,0.04687898,-0.00000000,-0.04111465,g3,3,178,10.06
6.9460,-0.48844400,0.01974522,-0.00000000,-0.04050955,g3,3,179,10.29
6.9738,-0.49483200,0.01168790,-0.00000000,-0.03929936,g3,3,180,10.48
7.0015,-0.49917600,0.00576433,-0.00000000,-0.03808917,g3,3,181,10.64
7.0223,-0.49888000,0.00216561,-0.00000000,-0.03802548,g3,3,182,10.74
7.0571,-0.49515200,-0.02105096,-0.00000000,-0.03410828,g3,3,183,10.84
7.1127,-0.50650400,-0.02869427,-0.00000000,-0.02980892,g3,3,184,11.02
7.1335,-0.50911200,-0.04398089,-0.00000000,-0.02735669,g3,3,185,11.20
7.1752,-0.52427600,-0.06799363,-0.00000000,-0.02175159,g3,3,186,11.31
7.2030,-0.53588800,-0.08407643,-0.00000000,-0.01863057,g3,3,187,11.47
7.2308,-0.54575200,-0.09652866,-0.00000000,-0.01732484,g3,3,188,11.53
7.2655,-0.58839200,-0.03280255,-0.00000000,-0.02343949,g3,3,189,11.62
7.3349,-0.66856000,0.05334395,-0.00000000,-0.02350318,g3,3,190,11.74
7.3627,-0.77860000,0.09738854,-0.00000000,-0.03245223,g3,3,191,11.83
7.3905,-0.88804400,0.14643312,-0.00000000,-0.03152866,g3,3,192,11.75
7.4252,-0.63799200,0.28538217,-0.00000000,-0.13359873,g4,4,193,11.64
7.4669,-0.53879600,0.23894904,-0.00000000,-0.09229299,g4,4,194,11.32
7.4878,-0.53532400,0.20270701,-0.00000000,-0.08165605,g4,4,195,11.18
7.5502,-0.53275200,0.10022293,-0.00000000,-0.05194268,g4,4,196,11.28
7.5919,-0.52292400,0.06636943,-0.00000000,-0.03675159,g4,4,197,11.45
7.6196,-0.51042400,0.05044586,-0.00000000,-0.02636943,g4,4,198,11.55
7.6405,-0.49980000,0.04063694,-0.00000000,-0.02480892,g4,4,199,11.66
7.6822,-0.50040800,0.03343949,-0.00000000,-0.01939490,g4,4,200,11.75
7.7447,-0.50437200,0.00066879,-0.00000000,-0.00770701,g4,4,201,11.97
7.7725,-0.49748400,-0.01292994,-0.00000000,-0.00573248,g4,4,202,12.49
7.8143,-0.50011200,-0.02079618,-0.00000000,-0.00194268,g4,4,203,12.31
7.8419,-0.50196000,-0.02261146,-0.00000000,-0.00117834,g4,4,204,12.43
7.8628,-0.50645200,-0.02713376,-0.00000000,-0.00038217,g4,4,205,12.55
7.8906,-0.50505600,-0.02528662,-0.00000000,-0.00305732,g4,4,206,12.62
7.9601,-0.51940400,-0.04598726,-0.00000000,-0.00398089,g4,4,207,12.82
7.9809,-0.52300400,-0.04707006,-0.00000000,-0.00687898,g4,4,208,13.00
8.0087,-0.52584000,-0.04242038,-0.00000000,-0.00952229,g4,4,209,13.06
8.0503,-0.52932800,-0.04799363,-0.00000000,-0.01168790,g4,4,210,13.15
8.0850,-0.52691600,-0.05073248,-0.00000000,-0.01786624,g4,4,211,13.24
8.1274,-0.53150800,-0.05264331,-0.00000000,-0.02257962,g4,4,212,13.37
8.1755,-0.53324800,-0.01595541,-0.00000000,-0.02859873,g4,4,213,13.47
8.1963,-0.53536800,-0.01066879,-0.00000000,-0.03085987,g4,4,214,13.59
8.2240,-0.53742800,-0.01745223,-0.00000000,-0.02990446,g4,4,215,13.64
8.2448,-0.54051200,-0.00509554,-0.00000000,-0.03471338,g4,4,216,13.65
8.2866,-0.53928000,-0.00267516,-0.00000000,-0.03742038,g4,4,217,13.77
8.3491,-0.54660000,0.03159236,-0.00000000,-0.03878981,g4,4,218,13.87
8.3768,-0.54308400,0.04445860,-0.00000000,-0.03961783,g4,4,219,13.97
8.4185,-0.54586400,0.04363057,-0.00461783,-0.03697452,g4,4,220,14.02
8.4394,-0.54183600,0.05378981,-0.01251592,-0.03863057,g4,4,221,14.12
8.4671,-0.52740000,0.06171975,-0.02019108,-0.03757962,g4,4,222,14.13
8.5435,-0.53300800,0.05757962,-0.01675159,-0.03079618,g4,4,223,14.26
8.5713,-0.53631200,0.05917197,-0.01621019,-0.02872611,g4,4,224,14.40
8.5991,-0.53661600,0.05522293,-0.01515924,-0.02662420,g4,4,225,14.43
8.6200,-0.55479600,0.13869427,-0.00000000,0.16554140,g4,4,226,14.50
8.6547,-0.56559200,0.14557325,-0.00000000,0.17168790,g4,4,227,14.55
8.6825,-0.59316400,0.16601911,-0.00000000,0.16792994,g4,4,228,14.67
8.7311,-0.61838400,0.19585987,-0.00662420,0.17968153,g4,4,229,14.72
8.7657,-0.63319600,0.18356688,-0.03535032,0.14646497,g4,4,230,14.75
8.7935,-0.63254000,0.15114650,-0.05461783,0.11805732,g4,4,231,14.69
8.8143,-0.62005600,0.13328025,-0.05500000,0.10296178,g4,4,232,14.66
8.8421,-0.59012400,0.10085987,-0.03945860,0.07920382,g4,4,233,14.61
8.8838,-0.40642400,0.17187898,-0.13146497,-0.02146497,g4,4,234,14.57
8.9255,-0.38454000,0.15751592,-0.11226115,-0.00630573,g4,4,235,14.56
8.9533,-0.34684800,0.11547771,-0.12359873,0.02156051,g4,4,236,14.56
8.9880,-0.33938000,0.05404459,-0.10515924,0.02621019,g4,4,237,14.65
9.0158,-0.37254400,-0.13200637,-0.07156051,0.02847134,g4,4,238,14.75
9.0367,-0.40079200,-0.10378981,-0.06671975,0.04433121,g4,4,239,14.85
9.1062,-0.45824800,0.00528662,-0.10140127,0.06073248,g4,4,240,15.01
9.1408,-0.47816000,0.13168790,-0.16101911,0.07487261,g4,4,241,15.16
9.1686,-0.50916000,0.20949045,-0.18671975,0.09388535,g4,4,242,15.19
9.1894,-0.45404400,0.15713376,-0.00000000,-0.06484076,g5,5,243,15.21
9.2242,-0.45886400,0.14117834,-0.00000000,-0.08815287,g5,5,244,15.10
9.2520,-0.48323600,0.09257962,-0.00000000,-0.08143312,g5,5,245,15.02
9.3075,-0.53328800,-0.07971338,-0.00000000,-0.01856688,g5,5,246,14.97
9.3492,-0.54513600,-0.12273885,-0.00000000,0.00235669,g5,5,247,14.86
9.3770,-0.54594400,-0.13742038,-0.00000000,0.01219745,g5,5,248,14.81
9.4048,-0.55846400,-0.13414013,-0.00000000,0.02070064,g5,5,249,14.74
9.4395,-0.57617600,-0.11108280,-0.00000000,0.01729299,g5,5,250,14.62
9.4881,-0.58627600,-0.12191083,-0.00000000,0.01560510,g5,5,251,14.48
9.5159,-0.67131600,-0.01121019,-0.00000000,0.08643312,g5,5,252,14.39
9.5647,-0.69966400,0.00289809,-0.00000000,0.10366242,g5,5,253,14.26
9.5923,-0.71437600,-0.00636943,-0.00000000,0.10748408,g5,5,254,14.17
9.6201,-0.71648800,0.03337580,-0.00000000,0.10837580,g5,5,255,14.03
9.6479,-0.70703600,0.01856688,-0.00000000,0.09050955,g5,5,256,13.88
9.7312,-0.68172000,-0.09821656,-0.00000000,0.04519108,g5,5,257,13.61
9.7590,-0.66524800,-0.11939490,-0.00000000,0.03939490,g5,5,258,13.39
9.7798,-0.64999600,-0.11028662,-0.00000000,0.02958599,g5,5,259,13.34
9.8146,-0.63442800,-0.13092357,-0.00000000,0.02888535,g5,5,260,13.24
9.8562,-0.62865200,-0.12500000,-0.00000000,0.03398089,g5,5,261,13.15
9.8909,-0.62025600,-0.11949045,-0.00000000,0.03347134,g5,5,262,13.06
9.9535,-0.61016400,-0.09856688,-0.00000000,0.03496815,g5,5,263,12.98
9.9952,-0.60189600,-0.08980892,-0.00000000,0.03433121,g5,5,264,12.92
10.0299,-0.60012000,-0.07656051,-0.00000000,0.03697452,g5,5,265,12.84
10.0507,-0.59490400,-0.06990446,-0.00000000,0.03684713,g5,5,266,12.82
10.0993,-0.59069600,-0.05471338,-0.00000000,0.03378981,g5,5,267,12.78
10.1548,-0.57690000,-0.06617834,-0.00000000,0.03398089,g5,5,268,12.73
10.1826,-0.56389600,-0.06859873,-0.00000000,0.03525478,g5,5,269,12.71
10.2243,-0.55262000,-0.06955414,-0.00000000,0.03601911,g5,5,270,12.70
10.2520,-0.54296400,-0.07512739,-0.00000000,0.03843949,g5,5,271,12.64
10.2729,-0.54292400,-0.04840764,-0.00000000,0.03627389,g5,5,272,12.68
10.3562,-0.53330000,-0.05480892,-0.00000000,0.03652866,g5,5,273,12.68
10.3701,-0.52628800,-0.08267516,-0.00000000,0.04210191,g5,5,274,12.66
10.4048,-0.52827600,-0.06500000,-0.00000000,0.03933121,g5,5,275,12.68
10.4465,-0.52748400,-0.04745223,-0.00000000,0.03385350,g5,5,276,12.72
10.4743,-0.52048400,-0.03382166,-0.00000000,0.03439490,g5,5,277,12.70
10.5299,-0.62679200,-0.03863057,-0.00000000,0.01818471,g5,5,278,6.51
10.5785,-0.69485200,-0.04777070,-0.00000000,-0.01092357,g5,5,279,12.65
10.5994,-0.72174800,-0.06347134,-0.00000000,-0.03063694,g5,5,280,12.63
10.6341,-0.73140400,-0.07401274,-0.00000000,-0.03222930,g5,5,281,12.57
10.6897,-0.66201200,-0.06958599,-0.00000000,0.00175159,g5,5,282,12.37
10.7384,-0.55035200,0.01605096,-0.00000000,0.05646497,g5,5,283,12.13
10.7661,-0.46880400,0.05334395,-0.00000000,0.08531847,g5,5,284,12.04
10.8009,-0.47214400,0.05455414,-0.00000000,0.07436306,g5,5,285,12.01
10.8217,-0.48862800,0.08872611,-0.00000000,0.07286624,g5,5,286,12.01
