t_s,xacc_mps2,yacc_mps2,zacc_mps2,xgyro_rads,ygyro_rads,zgyro_rads
0.556774,-0.723675,-0.501768,-12.359455,0.1158035,-0.1459447,0.8124502
0.563703,-0.715990,-0.536058,-11.982872,0.0768367,-0.1480083,0.8025411
0.570603,-0.709117,-0.544982,-11.688692,0.0552961,-0.1491382,0.7896708
0.585800,-0.681919,-0.877453,-11.649121,0.0525604,-0.1492769,0.7590903
0.592843,-0.689316,-0.522159,-11.216301,0.0598542,-0.1489277,0.7471820
0.599730,-0.681736,-0.559050,-11.213009,0.0677945,-0.1485728,0.7376924
0.606769,-0.676635,-0.527645,-11.171174,0.0742505,-0.1483208,0.7309435
0.613739,-0.669532,-0.551244,-11.198684,0.0783270,-0.1482060,0.7269396
0.627598,-0.656890,-0.562990,-11.253103,0.0796692,-0.1482841,0.7260751
0.634686,-0.652181,-0.525213,-11.246490,0.0781514,-0.1483729,0.7282716
0.641470,-0.643247,-0.597598,-11.349551,0.0760752,-0.1484346,0.7315087
0.648363,-0.638028,-0.574249,-11.358949,0.0739555,-0.1484476,0.7352698
0.662262,-0.626084,-0.567273,-11.413111,0.0706708,-0.1483364,0.7426511
0.669246,-0.620239,-0.560524,-11.433636,0.0696382,-0.1482456,0.7456565
0.676272,-0.614450,-0.553231,-11.450930,0.0689314,-0.1481558,0.7479688
0.683111,-0.606299,-0.599361,-11.523967,0.0684379,-0.1480789,0.7495316
0.697039,-0.594169,-0.596810,-11.560411,0.0676880,-0.1479796,0.7505623
0.703978,-0.588827,-0.582596,-11.560689,0.0672983,-0.1479515,0.7502357
0.710923,-0.582324,-0.588863,-11.422040,0.0553224,-0.1522599,0.7398498
0.717864,-0.576358,-0.588466,-11.329856,0.0410490,-0.1567351,0.7267983
0.724849,-0.570774,-0.581156,-11.262574,0.0281176,-0.1604360,0.7128060
0.738677,-0.558610,-0.600126,-11.223453,0.0126687,-0.1640082,0.6874716
0.745653,-0.553789,-0.589335,-11.206692,0.0101386,-0.1641439,0.6779346
0.752565,-0.547711,-0.606097,-11.223785,0.0099503,-0.1636483,0.6710697
0.759616,-0.544006,-0.575184,-11.203649,0.0110658,-0.1628829,0.6669101
0.773487,-0.533514,-0.596963,-10.514535,-0.1417424,-0.1770538,0.5600135
0.780396,-0.528114,-0.625888,-10.342918,-0.2060237,-0.1829033,0.4973557
0.787303,-0.524285,-0.629198,-10.224492,-0.2506896,-0.1876741,0.4374822
0.794291,-0.521604,-0.611858,-10.149891,-0.2751696,-0.1913008,0.3851503
0.801312,-0.517518,-0.601969,-10.006541,-0.2495341,-0.2119087,0.3915180
0.815092,-0.508105,-0.664525,-9.840335,-0.1416019,-0.2298574,0.4898355
0.822067,-0.505542,-0.600107,-9.780276,-0.0756051,-0.2243407,0.5712264
0.829796,-0.502738,-0.451153,-9.755778,-0.0235385,-0.2174643,0.6561251
0.836688,-0.492711,-0.776360,-9.748181,0.0131765,-0.2116441,0.7447097
0.850606,-0.482776,-0.614813,-9.771817,0.0282931,-0.2093042,0.8653048
0.857585,-0.475848,-0.603316,-9.795996,0.0215474,-0.2100958,0.9014194
0.864459,-0.468633,-0.630398,-9.829018,0.0114743,-0.2110072,0.9213197
0.871427,-0.461406,-0.613564,-9.866314,0.0013764,-0.2115933,0.9267549
0.878433,-0.454257,-0.609056,-9.908154,-0.0068211,-0.2117611,0.9203889
0.892271,-0.440407,-0.636141,-10.001291,-0.0153572,-0.2113287,0.8849096
0.899156,-0.433777,-0.644920,-10.047087,-0.0163392,-0.2110351,0.8620442
0.906176,-0.427180,-0.618107,-10.083531,-0.0160391,-0.2108208,0.8393412
0.913077,-0.421056,-0.646077,-10.129125,-0.0151329,-0.2107176,0.8187985
0.927028,-0.411412,-0.631241,-10.205840,-0.0515378,-0.1731131,0.7890609
0.933930,-0.408937,-0.657436,-10.252866,-0.0920130,-0.1289365,0.7808273
0.940878,-0.405954,-0.651822,-10.283306,-0.1281413,-0.0885825,0.7768453
0.947850,-0.402361,-0.650547,-10.308877,-0.1549783,-0.0580870,0.7765452
0.961710,-0.393233,-0.655767,-10.349925,-0.1785526,-0.0306715,0.7837987
0.968649,-0.387683,-0.665130,-10.368601,-0.1789723,-0.0299723,0.7896247
0.975644,-0.381871,-0.647905,-10.360054,-0.0714060,-0.0354900,0.7958511
0.982536,-0.375434,-0.662855,-10.373359,0.0423035,-0.0446269,0.8018329
0.996457,-0.362690,-0.654793,-10.372339,0.2136548,-0.0656075,0.8113019
1.003394,-0.356783,-0.644620,-10.365672,0.2551124,-0.0741788,0.8143275
1.010391,-0.351262,-0.631537,-10.358810,0.2704726,-0.0801800,0.8161482
1.017241,-0.344514,-0.664753,-10.372234,0.2673876,-0.0834293,0.8168653
1.031150,-0.333315,-0.676528,-10.380560,0.2368762,-0.0832121,0.8157319
1.038138,-0.329593,-0.642269,-10.369660,0.2211421,-0.0811230,0.8143432
1.045089,-0.324190,-0.652389,-10.376712,0.2092221,-0.0786531,0.8127118
1.052001,-0.318696,-0.662977,-10.384089,0.2019240,-0.0763338,0.8110371
1.058968,-0.314294,-0.651816,-10.382895,0.1988348,-0.0744959,0.8094779
1.072824,-0.304516,-0.653961,-10.092773,0.3033240,-0.0664252,0.8071200
1.079929,-0.302296,-0.609800,-9.886254,0.3972805,-0.0608399,0.8064167
1.086769,-0.293878,-0.667655,-9.746484,0.4739778,-0.0576415,0.8060317
1.093790,-0.291858,-0.621315,-9.650751,0.5255545,-0.0569897,0.8059303
1.107651,-0.281467,-0.628927,-9.558667,0.5596566,-0.0605037,0.8063576
1.114486,-0.273874,-0.666822,-9.544567,0.5539090,-0.0628567,0.8067611
1.121413,-0.270693,-0.643651,-9.552304,0.5416900,-0.0646977,0.8072107
1.128485,-0.268966,-0.605880,-9.571384,0.5280893,-0.0657356,0.8076563
1.142300,-0.258053,-0.628807,-9.618412,0.5082123,-0.0655620,0.8083916
1.149238,-0.252566,-0.640594,-9.646515,0.5038110,-0.0647976,0.8086398
1.156145,-0.247378,-0.648689,-9.675640,0.5026379,-0.0639300,0.8088000
1.163276,-0.250456,-0.580066,-9.422573,0.5797660,-0.0381051,0.8088768
1.170071,-0.238981,-0.673581,-9.231660,0.6501133,-0.0093432,0.8088812
1.183972,-0.237392,-0.620551,-9.054637,0.7481129,0.0331676,0.8087373
1.190930,-0.234477,-0.611736,-9.018385,0.7696464,0.0428957,0.8086225
1.197844,-0.228092,-0.631674,-8.765269,0.6570398,0.0307012,0.8084999
1.204802,-0.224586,-0.622923,-8.639956,0.5385842,0.0128658,0.8083825
1.218686,-0.210242,-0.668482,-8.514199,0.3524702,-0.0169279,0.8081971
1.225744,-0.215123,-0.597184,-8.545129,0.3043156,-0.0240665,0.8081383
1.232568,-0.200532,-0.675792,-8.419689,0.2840662,-0.0316554,0.8081030
1.239561,-0.204307,-0.615114,-8.413731,0.2841120,-0.0368491,0.8080893
1.253425,-0.191998,-0.642878,-8.407760,0.3139851,-0.0410458,0.8081120
1.260448,-0.194906,-0.594760,-8.460148,0.3315014,-0.0411576,0.8081394
1.267300,-0.182541,-0.650566,-8.470615,0.3458552,-0.0407012,0.8081715
1.274297,-0.186921,-0.596174,-8.537901,0.3557227,-0.0400717,0.8082045
1.281264,-0.180693,-0.610764,-8.576189,0.3611277,-0.0394952,0.8082351
1.295180,-0.176093,-0.592470,-8.672927,0.3620742,-0.0387987,0.8082812
1.302033,-0.165228,-0.635228,-8.700161,0.3599436,-0.0386426,0.8082950
1.309084,-0.174223,-0.560382,-8.766021,0.3573980,-0.0385521,0.8083024
1.315931,-0.158362,-0.631198,-8.299459,0.3803293,-0.0377250,0.8083044
1.329948,-0.164288,-0.556319,-7.863841,0.4203001,-0.0370253,0.8082957
1.336829,-0.151439,-0.606794,-7.709949,0.4337645,-0.0372704,0.8082878
1.344728,-0.212420,-0.260336,-7.894323,0.4418694,-0.0377831,0.8082791
1.351350,-0.074396,-0.966829,-7.352262,0.4454567,-0.0384816,0.8082694
1.358346,-0.150735,-0.550402,-7.657851,0.4453906,-0.0390316,0.8082616
1.372206,-0.143732,-0.550061,-7.712440,0.4407862,-0.0396391,0.8082507
1.379128,-0.136909,-0.566524,-7.742084,0.4381747,-0.0396666,0.8082478
1.386125,-0.140421,-0.532225,-7.808155,0.4361069,-0.0395548,0.8082464
1.393104,-0.136414,-0.534803,-7.851511,0.4347770,-0.0393605,0.8082465
1.399986,-0.125680,-0.569265,-7.875861,0.4341736,-0.0391391,0.8082476
1.413930,-0.130129,-0.516107,-7.988407,0.4345599,-0.0387739,0.8082517
1.420860,-0.122561,-0.535210,-8.014981,0.4351802,-0.0386692,0.8082541
1.427823,-0.122808,-0.519744,-7.815631,0.4233532,-0.0401129,0.8082564
1.434699,-0.112741,-0.550343,-7.667234,0.4119874,-0.0416885,0.8082582
1.448646,-0.110507,-0.531133,-7.549669,0.3948593,-0.0438880,0.8082610
1.455925,-0.144536,-0.372377,-7.631312,0.3905022,-0.0442968,0.8082616
1.462829,-0.076057,-0.646073,-7.454768,0.3886743,-0.0443244,0.8082619
1.470136,-0.144195,-0.349687,-7.659100,0.3888087,-0.0441224,0.8082617
1.483553,-0.090283,-0.544410,-7.541692,0.3755062,-0.0485806,0.8082607
1.490555,-0.108273,-0.458786,-7.595499,0.3611024,-0.0540788,0.8082601
1.497525,-0.102689,-0.467942,-7.601307,0.3483376,-0.0590947,0.8082595
1.504409,-0.090943,-0.501224,-7.599858,0.3388012,-0.0628833,0.8082590
1.518309,-0.086562,-0.492532,-7.652560,0.3301662,-0.0662811,0.8082580
1.525333,-0.101670,-0.423748,-7.716262,0.3298914,-0.0663585,0.8082578
1.532160,-0.074921,-0.511768,-7.693336,0.3311533,-0.0658402,0.8082577
1.539146,-0.093988,-0.429523,-7.761467,0.3331304,-0.0650708,0.8082576
1.546111,-0.090034,-0.432935,-7.782095,0.3352070,-0.0642991,0.8082576
1.559999,-0.082326,-0.438548,-7.819378,0.3382820,-0.0632727,0.8082581
1.566949,-0.083589,-0.423183,-7.844293,0.3390566,-0.0630803,0.8082581
1.573894,-0.080971,-0.422916,-7.569012,0.2949418,-0.0754236,0.8082584
1.580850,-0.080405,-0.415171,-7.397752,0.2454133,-0.0892570,0.8082587
1.594748,-0.077199,-0.407398,-7.215093,0.1635952,-0.1107193,0.8082588
1.601651,-0.067616,-0.430426,-7.159913,0.1397315,-0.1161004,0.8082588
1.608640,-0.078556,-0.391061,-6.991764,0.0279083,-0.1138078,0.8082588
1.615566,-0.068098,-0.424511,-6.921964,-0.1014590,-0.1045291,0.8082588
1.622468,-0.064623,-0.434611,-6.889929,-0.2142109,-0.0920755,0.8082587
1.636378,-0.066992,-0.422584,-6.898176,-0.3551911,-0.0670484,0.8082587
1.643360,-0.074250,-0.396766,-6.936195,-0.3830085,-0.0576231,0.8082585
1.650246,-0.059084,-0.437074,-6.929835,-0.3896756,-0.0511785,0.8082586
1.657272,-0.079031,-0.373316,-7.013183,-0.3825076,-0.0476689,0.8082586
1.664190,-0.061920,-0.416287,-7.013949,-0.3682372,-0.0466518,0.8082586
1.678101,-0.050436,-0.434282,-7.072574,-0.3377593,-0.0494046,0.8082585
1.685013,-0.057645,-0.408547,-7.128365,-0.3269660,-0.0518079,0.8082584
1.692016,-0.070589,-0.369141,-7.193086,-0.3203289,-0.0541664,0.8082586
1.698877,-0.047082,-0.423742,-7.180832,-0.3175163,-0.0561390,0.8082585
1.712884,-0.080296,-0.331938,-7.395461,-0.3059970,-0.0576117,0.7692722
1.719745,-0.043931,-0.415356,-7.382217,-0.3030900,-0.0578943,0.7460408
1.727202,-0.135909,-0.194948,-7.585402,-0.3019683,-0.0580493,0.7236992
1.733599,0.042375,-0.605125,-7.309006,-0.3023022,-0.0581730,0.7040569
1.747509,-0.044060,-0.397716,-7.502754,-0.3055398,-0.0585014,0.6769549
1.754421,-0.049269,-0.382290,-7.520182,-0.3076183,-0.0587040,0.6701121
1.761381,-0.055495,-0.365343,-7.535998,-0.3096105,-0.0588956,0.6673943
1.768333,-0.054908,-0.363396,-7.540071,-0.3113517,-0.0590421,0.6681477
1.782243,-0.042938,-0.381650,-7.529131,-0.3139085,-0.0591155,0.6767085
1.782243,-0.042938,-0.381650,-7.529131,-0.3139085,-0.0591155,0.6767085
1.798447,-0.429176,0.388009,-8.155849,-0.3155803,-0.0588582,0.6907965
1.805378,-0.048503,-0.360086,-7.546874,-0.3161421,-0.0586500,0.6963168
1.812308,-0.047804,-0.358512,-7.547456,-0.3166662,-0.0584315,0.7009198
1.819252,-0.049917,-0.351835,-7.552227,-0.3171931,-0.0582216,0.7043928
1.833148,-0.036172,-0.369656,-7.622754,-0.2602215,-0.0522998,0.5964239
1.840070,-0.045453,-0.349355,-7.676586,-0.2333425,-0.0505371,0.5280269
1.847077,-0.060763,-0.319157,-7.730533,-0.2125570,-0.0495774,0.4605686
1.854025,-0.050466,-0.334600,-7.739390,-0.1990460,-0.0492566,0.3998894
1.868112,-0.065941,-0.303532,-7.794370,-0.1910321,-0.0500843,0.3128844
1.874992,-0.037724,-0.346959,-7.898076,-0.1680363,-0.0651269,0.3350618
1.881764,-0.016683,-0.377066,-7.984679,-0.1431374,-0.0814322,0.3815985
1.888702,-0.046474,-0.321703,-8.117314,-0.1203979,-0.0962811,0.4430197
1.895698,-0.056314,-0.300522,-8.205124,-0.1025358,-0.1079818,0.5105779
1.909673,-0.014832,-0.360702,-8.298627,-0.0698636,-0.1120341,0.6116721
1.916569,-0.037448,-0.321350,-8.383512,-0.0584939,-0.0982888,0.6412115
