t_s,xacc_mps2,yacc_mps2,zacc_mps2,xgyro_rads,ygyro_rads,zgyro_rads
0.659758,0.000029,0.003419,-9.809883,0.0005185,0.0005151,0.0000381
0.673690,-0.000099,-0.003888,-9.809648,0.0006634,0.0005778,-0.0000287
0.680605,-0.000152,0.003536,-9.810186,0.0005192,0.0005148,0.0000380
0.687597,0.000020,-0.003497,-9.810122,0.0006340,0.0005539,-0.0000279
0.694473,0.000131,0.003209,-9.809513,0.0005490,0.0005323,0.0000381
0.701453,-0.000049,-0.003362,-9.810540,0.0006334,0.0005600,-0.0000286
0.715329,0.000129,0.000257,-9.810471,0.0005067,0.0005261,0.0000388
0.722320,-0.000143,-0.003691,-9.810076,0.0006327,0.0005606,-0.0000287
0.729271,0.000069,0.003183,-9.809459,0.0005491,0.0005323,0.0000381
0.736179,-0.000103,-0.003384,-9.810485,0.0006346,0.0005536,-0.0000279
0.750128,0.000003,0.000167,-9.810292,0.0005068,0.0005263,0.0000387
0.757056,-0.000041,-0.003893,-9.809714,0.0006633,0.0005778,-0.0000286
0.763922,-0.000153,0.003560,-9.810185,0.0005191,0.0005148,0.0000380
0.770933,0.000072,-0.003498,-9.810184,0.0006328,0.0005602,-0.0000285
0.784823,-0.000102,-0.003356,-9.810478,0.0006347,0.0005536,-0.0000279
0.791730,0.000138,0.003203,-9.809519,0.0005491,0.0005323,0.0000382
0.798684,0.000127,0.000251,-9.810465,0.0005068,0.0005262,0.0000388
0.805653,-0.000037,-0.003872,-9.809713,0.0006632,0.0005778,-0.0000286
0.812578,-0.000078,0.003618,-9.810291,0.0005146,0.0005205,0.0000391
0.826456,-0.000381,-0.003584,-9.810316,0.0006345,0.0005539,-0.0000281
0.833420,0.000130,0.003179,-9.809525,0.0005490,0.0005322,0.0000381
0.840332,-0.000102,-0.003384,-9.810483,0.0006346,0.0005536,-0.0000279
0.847305,0.000137,0.003172,-9.809523,0.0005490,0.0005323,0.0000381
0.861160,0.000239,0.003273,-9.809787,0.0005463,0.0005492,0.0000382
0.868156,-0.000197,-0.003366,-9.810207,0.0006348,0.0005536,-0.0000280
0.875168,0.000262,0.003237,-9.809694,0.0005432,0.0005443,0.0000386
0.882028,0.000015,0.000264,-9.810369,0.0004993,0.0005243,0.0000397
0.895881,-0.000212,0.003582,-9.810123,0.0005204,0.0005084,0.0000387
0.902948,0.000125,-0.003477,-9.810245,0.0006326,0.0005602,-0.0000285
0.909864,0.000076,0.003195,-9.809450,0.0005491,0.0005323,0.0000381
0.916797,0.000128,0.000254,-9.810468,0.0005068,0.0005261,0.0000388
0.923723,-0.000037,-0.003895,-9.809712,0.0006632,0.0005778,-0.0000286
0.937595,-0.000094,-0.003347,-9.810482,0.0006346,0.0005536,-0.0000279
0.944581,0.000264,0.003247,-9.809691,0.0005432,0.0005443,0.0000386
0.951529,0.000003,0.000169,-9.810293,0.0005068,0.0005263,0.0000387
0.958419,-0.000202,-0.003733,-9.810017,0.0006340,0.0005542,-0.0000280
0.965382,0.000125,0.003195,-9.809545,0.0005469,0.0005318,0.0000384
0.979315,0.000082,0.003187,-9.809458,0.0005491,0.0005323,0.0000381
0.986294,-0.000101,-0.003352,-9.810479,0.0006346,0.0005536,-0.0000279
