t_s,xacc_mps2,yacc_mps2,zacc_mps2,xgyro_rads,ygyro_rads,zgyro_rads
0.687507,-2.528413,-0.175691,-9.410784,-0.000946,0.009473,0.001504
0.701395,-2.525395,-0.164347,-9.415059,-0.002364,0.010414,0.001488
0.708337,-2.523067,-0.164368,-9.413378,-0.002401,0.010934,0.001492
0.715275,-2.516768,-0.161517,-9.411653,-0.002834,0.010985,0.001485
0.722308,-2.519514,-0.163057,-9.412564,-0.002799,0.011857,0.001491
0.729169,-2.506804,-0.173796,-9.407755,-0.001012,0.011845,0.001544
0.743055,-2.508986,-0.164354,-9.416012,-0.002306,0.013262,0.001533
0.750027,-2.496140,-0.163764,-9.404668,-0.002207,0.011918,0.001538
0.756986,-2.493696,-0.160673,-9.406049,-0.002718,0.012046,0.001533
0.763873,-2.488323,-0.170564,-9.404469,-0.001237,0.012905,0.001578
0.770798,-2.489902,-0.167003,-9.411680,-0.001710,0.014287,0.001580
0.784722,-2.471256,-0.162221,-9.403759,-0.002282,0.014119,0.001579
0.791682,-2.474222,-0.160985,-9.406858,-0.002597,0.014691,0.001580
0.798611,-2.468981,-0.171913,-9.406103,-0.000903,0.015495,0.001631
0.805578,-2.460740,-0.164936,-9.403986,-0.001677,0.014709,0.001625
0.819432,-2.450483,-0.161368,-9.400383,-0.002177,0.015414,0.001634
0.826437,-2.454281,-0.170953,-9.405646,-0.000797,0.017047,0.001678
0.833288,-2.438480,-0.141871,-9.405292,-0.002039,0.016879,-0.000475
0.840356,-2.453706,-0.150490,-9.414557,-0.001548,0.019514,-0.000553
0.854115,-2.423062,-0.161793,-9.404400,0.000254,0.018014,-0.000563
0.861124,-2.272772,0.128824,-9.330027,-0.047305,-0.016151,0.000556
0.868075,-2.436856,-0.027680,-9.047863,-0.031927,0.020332,0.000830
0.875080,-2.398153,-0.105601,-9.215733,-0.020927,0.036720,0.001397
0.881940,-2.374846,-0.103182,-9.405144,-0.024084,0.033112,0.000715
0.895832,-2.370943,-0.139722,-9.458304,-0.017362,0.031849,0.001682
0.902712,-2.379296,-0.140900,-9.478130,-0.019641,0.024888,0.000952
0.909808,-2.389070,-0.162201,-9.459598,-0.016207,0.021837,0.001097
0.916606,-2.350829,-0.275086,-9.450271,0.002335,0.018275,0.001600
0.930520,-2.353904,-0.134916,-9.433382,-0.016994,0.010391,0.001225
0.937465,-2.300547,-0.429363,-9.301476,0.032743,-0.000830,0.002104
0.944469,-2.384960,-0.271098,-9.528384,0.010022,0.004044,0.001757
0.951360,-2.350391,-0.239261,-9.459058,0.006246,0.002394,0.002036
0.965336,-2.352668,-0.207399,-9.395440,0.002805,-0.001095,0.001834
0.972259,-2.332858,-0.214813,-9.373857,0.003999,-0.000184,0.002230
0.979172,-2.340331,-0.151208,-9.381734,-0.001264,-0.001863,0.002590
0.986106,-2.357964,-0.220689,-9.343998,0.004402,0.003929,0.002477
0.993124,-2.346420,-0.151002,-9.394146,-0.001138,0.000972,0.002928
1.006971,-2.343282,-0.149628,-9.390634,-0.000949,0.000769,0.003234
1.013851,-2.354349,-0.221228,-9.373941,0.004466,0.004881,0.002868
1.020798,-2.334942,-0.189137,-9.387794,0.001026,0.003043,0.002563
1.027854,-2.357486,-0.207266,-9.402201,0.002895,0.004251,0.003036
1.041713,-2.352465,-0.218884,-9.396377,0.004321,0.002607,0.003355
1.048607,-2.340035,-0.145173,-9.395082,-0.000655,-0.000112,0.004401
1.055633,-2.362160,-0.221232,-9.387132,0.004233,0.002993,0.003624
1.062481,-2.339076,-0.146081,-9.397098,-0.000553,0.000778,0.004880
1.069411,-2.343813,-0.222585,-9.376507,0.004138,0.001536,0.003923
1.083333,-2.347612,-0.213345,-9.397750,0.002882,0.001332,0.004166
1.090329,-2.340712,-0.203637,-9.380972,0.001726,0.001666,0.004399
1.097249,-2.346492,-0.213018,-9.396225,0.002600,0.002493,0.004558
1.104135,-2.327232,-0.207933,-9.375271,0.002064,0.000734,0.004930
1.118086,-2.337295,-0.214336,-9.382811,0.002398,0.001737,0.005521
1.125032,-2.344541,-0.216554,-9.393554,0.002607,-0.000209,0.005486
1.131953,-2.345298,-0.218942,-9.393210,0.002407,-0.000499,0.006181
1.139014,-2.356779,-0.220054,-9.394070,0.002617,-0.000207,0.006027
1.152853,-2.342784,-0.224401,-9.388204,0.002543,0.000797,0.006639
1.159880,-2.350166,-0.235202,-9.390331,0.003112,-0.000345,0.007727
1.166748,-2.342072,-0.230085,-9.392891,0.002668,-0.000551,0.007302
1.173772,-2.354428,-0.243157,-9.393950,0.003120,0.000096,0.008615
1.187541,-2.344865,-0.252458,-9.386178,0.003165,-0.001196,0.009590
1.194538,-2.348929,-0.241806,-9.385539,0.002604,-0.001154,0.008875
1.201496,-2.341244,-0.263780,-9.376901,0.003533,-0.001951,0.010642
1.208443,-2.342948,-0.249708,-9.378871,0.002594,-0.001979,0.009789
