k,phase,seg,sim_time_ns,a_thrust,a_roll,a_pitch,a_yaw,cmd_wx,cmd_wy,cmd_wz,cmd_thrust,collective,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z
-1,boot,boot,3799216000,,,,,0.0,0.0,0.0,1.5,0.3984,0.0,0.0,-0.0,-2.999152183532715,-0.001459956169128418,-9.340299606323242
-1,boot,boot,3820025000,,,,,0.0,0.0,0.0,1.5,0.3984,-0.0012675272300839424,-0.00516678299754858,-0.0031429827213287354,-2.968689441680908,-0.03005516529083252,-10.100749969482422
-1,boot,boot,3847795000,,,,,0.0,0.0,0.0,1.5,0.3984,0.0020391885191202164,0.005529913119971752,0.0007212123600766063,-0.0006912946701049805,0.00015604496002197266,-11.07625675201416
-1,boot,boot,3875591000,,,,,0.0,0.0,0.0,1.5,0.3984,0.00013253185898065567,0.0031124474480748177,0.0006282166577875614,-0.0012345314025878906,1.4781951904296875e-05,-14.820270538330078
-1,boot,boot,3903392000,,,,,0.0,0.0,0.0,1.5,0.3984,0.00017574557568877935,0.0007997925276868045,2.374762698309496e-05,-0.0025763511657714844,2.1219253540039062e-05,-16.818912506103516
-1,boot,boot,3924228000,,,,,0.0,0.0,0.0,1.5,0.3984,0.0003344917204231024,0.0012711024610325694,-0.0002066411980194971,-0.0042421817779541016,4.172325134277344e-05,-17.61344337463379
-1,boot,boot,3952065000,,,,,0.0,0.0,0.0,1.5,0.3984,0.0002557787811383605,0.001303394790738821,-0.00015616885502822697,-0.007005214691162109,3.1948089599609375e-05,-18.15131378173828
-1,boot,boot,3979723000,,,,,0.0,0.0,0.0,1.5,0.3984,0.00021040625870227814,0.001047397730872035,4.284083843231201e-06,-0.01041555404663086,2.574920654296875e-05,-18.368349075317383
-1,boot,boot,4000567000,,,,,0.0,0.0,0.0,1.5,0.3984,0.00019893294665962458,0.0009597389143891633,5.817801138618961e-05,-0.01343846321105957,2.6941299438476562e-05,-18.421510696411133
-1,boot,boot,4028432000,,,,,0.0,0.0,0.0,1.5,0.3984,0.00017612852388992906,0.0008595389081165195,3.8446494727395475e-05,-0.05147051811218262,9.298324584960938e-06,-18.314231872558594
-1,boot,boot,4056255000,,,,,0.0,0.0,0.0,1.5,0.3984,0.000154152512550354,0.0007549562724307179,-3.939319867640734e-06,-0.023304462432861328,1.9311904907226562e-05,-18.363475799560547
-1,boot,boot,4077095000,,,,,0.0,0.0,0.0,1.5,0.3984,0.00014075927902013063,0.0006870118668302894,-1.605452416697517e-05,-0.0277860164642334,1.52587890625e-05,-18.307598114013672
-1,boot,boot,4104946000,,,,,0.0,0.0,0.0,1.5,0.3984,0.00012403010623529553,0.0006066373898647726,-9.229835995938629e-06,-0.034311532974243164,1.5974044799804688e-05,-18.221223831176758
-1,boot,boot,4132633000,,,,,0.0,0.0,0.0,1.5,0.3984,0.00010970892617478967,0.0005359472124837339,1.686916220933199e-06,-0.04160761833190918,1.5497207641601562e-05,-18.126285552978516
-1,boot,boot,4153580000,,,,,0.0,0.0,0.0,1.5,0.3984,9.984878124669194e-05,0.0004874156729783863,4.251916834618896e-06,-0.047472476959228516,1.3828277587890625e-05,-18.051834106445312
-1,boot,boot,4181374000,,,,,0.0,0.0,0.0,1.5,0.3984,8.813804015517235e-05,0.00043006986379623413,2.2305248421616852e-06,-0.05571889877319336,1.0728836059570312e-05,-17.949909210205078
-1,boot,boot,4209034000,,,,,0.0,0.0,0.0,1.5,0.3984,7.777183782309294e-05,0.00037981802597641945,-5.720976332668215e-07,-0.06475019454956055,9.298324584960938e-06,-17.844907760620117
-1,boot,boot,4229877000,,,,,0.0,0.0,0.0,1.5,0.3984,7.06706487108022e-05,0.0003457329294178635,-1.1886404536198825e-06,-0.07185530662536621,8.344650268554688e-06,-17.764915466308594
-1,boot,boot,4257669000,,,,,0.0,0.0,0.0,1.5,0.3984,6.240926450118423e-05,0.0003054065746255219,-6.494592525996268e-07,-0.0819253921508789,7.3909759521484375e-06,-17.656572341918945
-1,boot,boot,4278482000,,,,,0.0,0.0,0.0,1.5,0.3984,5.696702282875776e-05,0.00027812941698357463,-2.2271706257015467e-08,-0.09344983100891113,5.9604644775390625e-06,-17.564207077026367
-1,boot,boot,4313200000,,,,,0.0,0.0,0.0,1.5,0.3984,4.876531602349132e-05,0.0002376470365561545,3.850745997624472e-07,-0.10395383834838867,-4.76837158203125e-07,-17.434995651245117
-1,boot,boot,4341013000,,,,,0.0,0.0,0.0,1.5,0.3984,4.293145320843905e-05,0.0002098202530760318,1.248554326593876e-07,-0.11595749855041504,-9.5367431640625e-07,-17.32217788696289
-1,boot,boot,4361867000,,,,,0.0,0.0,0.0,1.5,0.3984,3.900608862750232e-05,0.0001912965381052345,-6.846494216006249e-08,-0.12534451484680176,1.9073486328125e-06,-17.23697280883789
-1,boot,boot,4389633000,,,,,0.0,0.0,0.0,1.5,0.3984,3.45322914654389e-05,0.0001689206255832687,-2.220167516497895e-07,-0.13832640647888184,3.0994415283203125e-06,-17.122196197509766
-1,boot,boot,4417388000,,,,,0.0,0.0,0.0,1.5,0.3984,3.052197280339897e-05,0.0001488032576162368,-2.1002961148042232e-07,-0.1519312858581543,4.0531158447265625e-06,-17.006589889526367
-1,boot,boot,4445157000,,,,,0.0,0.0,0.0,1.5,0.3984,2.711293927859515e-05,0.0001314659311901778,-1.2018244888167828e-07,-0.16613125801086426,2.384185791015625e-07,-16.89006996154785
-1,boot,boot,4466035000,,,,,0.0,0.0,0.0,1.5,0.3984,2.4666347599122673e-05,0.00011967653699684888,-5.653510015690699e-08,-0.17698431015014648,2.384185791015625e-07,-16.802783966064453
-1,boot,boot,4493912000,,,,,0.0,0.0,0.0,1.5,0.3984,2.1579049644060433e-05,0.00010582599497865885,3.959667083108798e-08,-0.2089226245880127,-6.198883056640625e-06,-16.64120101928711
-1,boot,boot,4514695000,,,,,0.0,0.0,0.0,1.5,0.3984,1.964598777703941e-05,9.634019806981087e-05,3.2729076338000596e-08,-0.2037670612335205,-1.9073486328125e-06,-16.596830368041992
-1,boot,boot,4542521000,,,,,0.0,0.0,0.0,1.5,0.3984,1.742253516567871e-05,8.455444913124666e-05,2.5405824999324977e-08,-0.21987700462341309,-4.291534423828125e-06,-16.478513717651367
-1,boot,boot,4570398000,,,,,0.0,0.0,0.0,1.5,0.3984,1.4987861504778266e-05,7.511035801144317e-05,-6.332174962153658e-08,-0.236297607421875,-3.814697265625e-06,-16.360689163208008
-1,boot,boot,4591151000,,,,,0.0,0.0,0.0,1.5,0.3984,1.4199242286849767e-05,6.833839870523661e-05,-5.2355062507558614e-08,-0.24907255172729492,-3.814697265625e-06,-16.271928787231445
-1,boot,boot,4618902000,,,,,0.0,0.0,0.0,1.5,0.3984,1.2107684597140178e-05,6.000473877065815e-05,-4.3291947804391384e-10,-0.26648426055908203,-4.291534423828125e-06,-16.15337562561035
-1,boot,boot,4639779000,,,,,0.0,0.0,0.0,1.5,0.3984,1.1230506061110646e-05,5.450230310088955e-05,-3.587956598494202e-10,-0.2798645496368408,-9.5367431640625e-07,-16.064777374267578
-1,boot,boot,4667559000,,,,,0.0,0.0,0.0,1.5,0.3984,9.863622835837305e-06,4.835448635276407e-05,-1.0811163519974798e-08,-0.2981100082397461,-5.7220458984375e-06,-15.946587562561035
-1,boot,boot,4695270000,,,,,0.0,0.0,0.0,1.5,0.3984,8.625327609479427e-06,4.2802581447176635e-05,-3.2860043575055897e-09,-0.3166775703430176,-2.6226043701171875e-06,-15.829066276550293
-1,boot,boot,4716099000,,,,,0.0,0.0,0.0,1.5,0.3984,8.17334876046516e-06,3.8935082557145506e-05,-2.7166606741957366e-09,-0.33089208602905273,-5.4836273193359375e-06,-15.740742683410645
-1,boot,boot,4750827000,,,,,0.0,0.0,0.0,1.5,0.3984,7.097627531038597e-06,3.3259595511481166e-05,-1.9804247131105512e-09,-0.3552114963531494,-3.0994415283203125e-06,-15.594664573669434
