t_s,regime,anchored,pass_armed,passing,gi,consec_det,det_range_m,trk_range_m,trk_az,trk_el,est_roll,est_pitch,est_yaw,thr,cmd_roll_rps,cmd_pitch_rps,cmd_yaw_rps,tsv_s,tick_dt_ms,nav_ms
61.0830,settle,0,0,0,0,1,10.4189,10.4189,0.0050,-0.0187,0.0000,0.0000,0.0000,0.2656,0.0000,0.0000,-0.0000,inf,0.0000,20.2068
61.1247,settle,0,0,0,0,0,-1.0000,10.4189,0.0050,-0.0187,-0.0003,-0.3107,0.0001,0.2785,0.0000,0.0000,0.0000,inf,36.9976,480.2021
61.6109,settle,0,0,0,0,0,-1.0000,10.4189,0.0050,-0.0187,-0.0001,-0.3106,-0.0045,0.2785,0.0000,0.0000,-0.0000,inf,491.0719,455.1978
62.0833,anchor,0,0,0,0,1,10.1055,10.2622,0.0052,-0.0244,-0.0001,-0.3106,-0.0051,0.2747,0.0000,0.0000,-0.0000,inf,465.1654,471.7677
62.5626,anchor,0,0,0,0,2,9.0404,9.6513,0.0068,-0.0344,0.0001,-0.3106,-0.0100,0.2740,0.0000,0.0000,-0.0000,inf,484.1845,471.6318
63.0488,egress,1,0,0,0,3,6.6641,8.1577,0.0073,-0.0461,0.0004,-0.3106,-0.0159,0.2740,0.0042,1.5000,-0.0007,inf,485.9607,470.4448
63.5350,egress,1,0,0,0,4,5.6204,6.8890,0.0080,-0.0708,0.0003,-0.3106,-0.0145,0.2740,0.0005,1.5000,0.0143,inf,482.4605,477.8860
64.0211,pursuit,1,0,0,0,5,3.0606,4.9748,0.0134,-0.0808,0.0027,-1.0595,-0.0153,0.0500,0.0674,1.5000,-0.0904,inf,489.2807,481.7364
64.5144,passing,1,0,1,1,0,-1.0000,-1.0000,0.0000,0.0000,-3.1307,-1.3132,3.1207,0.5218,0.0824,1.5000,-0.0637,inf,492.7390,465.3024
