k,phase,seg,sim_time_ns,a_thrust,a_roll,a_pitch,a_yaw,cmd_wx,cmd_wy,cmd_wz,cmd_thrust,collective,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,k_tick
-1,boot,boot,2613201617000,,,,,0.0,0.0,0.0,1.0,0.2656,0.0,0.0,-0.0,-2.999227523803711,-0.0023299455642700195,-9.340274810791016,0
0,prog,g0+a,2613229275000,-0.48,-0.00856688,-0.0,0.10509554,-0.02690000320000019,-0.0,0.32999999560000015,1.3,0.34528000000000003,-0.0013501141220331192,-0.010569091886281967,-3.406987525522709e-05,-3.010342597961426,-0.051564812660217285,-10.097975730895996,1
0,prog,g0+a,2613250117000,-0.48,-0.00856688,-0.0,0.10509554,-0.02690000320000019,-0.0,0.32999999560000015,1.3,0.34528000000000003,2.306175883859396e-05,-0.005858530290424824,-0.04989691451191902,-1.8751903772354126,-0.024915188550949097,-9.348641395568848,2
1,prog,g0+a,2613277839000,-0.48,-0.00856688,-0.0,0.10509554,-0.02690000320000019,-0.0,0.32999999560000015,1.3,0.34528000000000003,0.08444521576166153,-0.008718341588973999,-0.7973074913024902,0.00034236907958984375,0.006347775459289551,-10.823221206665039,3
2,prog,g0+a,2613298737000,-0.48,-0.04735669,-0.0,0.15347134,-0.14870000659999993,-0.0,0.4819000076000002,1.3,0.34528000000000003,0.10686637461185455,0.002654045820236206,-1.1523386240005493,-0.0010401010513305664,0.009175658226013184,-12.351412773132324,4
3,prog,g0+a,2613326470000,-0.48,-0.04792994,-0.0,0.14480892,-0.1505000115999997,-0.0,0.45470000880000017,1.3,0.34528000000000003,0.207047238945961,-0.004047811031341553,-1.1910321712493896,-0.0018584728240966797,0.01964402198791504,-13.63608169555664,5
4,prog,g0,2613354258000,-0.66116,-0.04640127,-0.0,0.10210191,-0.14569998780000004,-0.0,0.3205999974,0.8471000000000001,0.22498976,0.4901590645313263,-0.006854414939880371,-1.2916817665100098,-0.003651857376098633,0.04874563217163086,-14.288506507873535,6
5,prog,g0,2613375164000,-0.66116,-0.04640127,-0.0,0.10210191,-0.14569998780000004,-0.0,0.3205999974,0.8471000000000001,0.22498976,0.4516536593437195,0.008931636810302734,-1.234739065170288,-0.007228732109069824,0.0406574010848999,-12.896207809448242,7
6,prog,g0,2613402900000,-0.646864,-0.10605096,-0.0,-0.05987261,-0.33300001440000004,-0.0,-0.1879999953999998,0.8828400000000001,0.23448230400000003,0.3923521637916565,0.006247460842132568,-0.8929233551025391,-0.009791254997253418,0.012009263038635254,-4.279986381530762,8
7,prog,g0,2613423725000,-0.65378,-0.11458599,-0.0,-0.08506369,-0.35980000860000017,-0.0,-0.2670999865999999,0.8655499999999999,0.22989008,0.5873674750328064,0.05495178699493408,-0.5474204421043396,-0.017312288284301758,0.052191972732543945,-12.651691436767578,9
