t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0,0,0,-0.02,-0,0,-0.98127,0.19265,0,0,0,0,0,0,0,0,0,0,0,0,2.4312,2.4721,2.4722,2.4311,0,0,0,-78.871,-32.378,24.898
0.01,-3.268e-08,-1.3346e-08,-0.02,0.00021106,4.1168e-05,-0.98127,0.19265,-1.3054e-05,-5.324e-06,4.1097e-06,0.00023641,0.085551,2.832e-08,-0.003907,-0.00159,0.0012289,0,0,0,2.432,2.4719,2.4716,2.4323,-0.77777,-0.31512,0.24419,-76.687,-30.653,23.941
0.02,-5.1997e-07,-2.1124e-07,-0.02,0.00083556,0.00016031,-0.98127,0.19265,-0.0001037,-4.2018e-05,3.2559e-05,0.0012477,0.16827,4.4637e-07,-0.015483,-0.0062456,0.004852,0,0,0,2.4334,2.4724,2.4717,2.434,-1.5338,-0.61317,0.47887,-74.532,-28.963,22.998
0.03,-2.6177e-06,-1.0578e-06,-0.019999,0.0018602,0.00035094,-0.98127,0.19265,-0.00034756,-0.00013989,0.00010882,0.0030089,0.24809,2.2249e-06,-0.034512,-0.013798,0.010775,0,0,0,2.4354,2.4733,2.4723,2.4364,-2.2685,-0.8945,0.70419,-72.405,-27.308,22.069
0.04,-8.227e-06,-3.3069e-06,-0.019997,0.0032712,0.00060659,-0.98126,0.19264,-0.00081809,-0.00032708,0.00025542,0.0054939,0.32495,6.9196e-06,-0.060783,-0.024081,0.018905,0,0,0,2.438,2.4749,2.4735,2.4393,-2.982,-1.1594,0.9203,-70.307,-25.688,21.154
0.05,-1.9973e-05,-7.9855e-06,-0.019994,0.0050501,0.0009454,-0.98218,0.18789,-0.0015866,-0.00063007,0.00049397,0.0048096,0.39886,1.6616e-05,-0.094084,-0.036933,0.029151,0,0,0,2.4413,2.4768,2.4755,2.4427,-3.6747,-1.4084,1.1273,-68.236,-24.102,20.253
0.06,-4.1184e-05,-1.6378e-05,-0.019987,0.0071884,0.0013309,-0.98238,0.18674,-0.0027225,-0.0010738,0.00084519,0.0068783,0.4697,3.387e-05,-0.13421,-0.052196,0.041422,0,0,0,2.4451,2.4794,2.4778,2.4467,-4.3469,-1.6416,1.3254,-66.194,-22.551,19.366
0.07,-7.5872e-05,-3.0008e-05,-0.019976,0.0096692,0.00177,-0.98258,0.18559,-0.0042929,-0.0016815,0.0013289,0.0092954,0.53748,6.1655e-05,-0.18095,-0.069714,0.05563,0,0,0,2.4495,2.4825,2.4808,2.4514,-4.9987,-1.8595,1.5147,-64.18,-21.034,18.493
0.08,-0.00012871,-5.0627e-05,-0.01996,0.012478,0.002258,-0.98276,0.18443,-0.006363,-0.0024751,0.0019639,0.012051,0.60216,0.0001033,-0.23412,-0.089336,0.071687,0,0,0,2.4544,2.4862,2.4843,2.4566,-5.6305,-2.0624,1.6953,-62.193,-19.551,17.633
0.09,-0.00020501,-8.0197e-05,-0.019937,0.015599,0.0027898,-0.98293,0.18327,-0.0089959,-0.0034747,0.0027685,0.015135,0.66374,0.00016242,-0.2935,-0.11091,0.089507,0,0,0,2.4599,2.4905,2.4883,2.4623,-6.2427,-2.2506,1.8674,-60.234,-18.101,16.787
