t,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0.0,0.0,0.0,-0.02,0.0,0.0,0.0,-0.0,0.0,-0.9933,0.1156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.23049671915613,9.0816846432777,6.062131593855365,1.1820408607328504e-06,0.0,0.0,0.0,0.0,0.0,0.0
0.01710238849438632,-5.524933041103105e-05,-0.0007623802169430294,-0.024909611290265494,-0.01310099149942613,-0.08275265775311028,-0.5746671523945339,0.04914041692558152,0.020795832458745722,-0.9962528917114856,0.06806561931864363,-10.99898951890375,10.999997285314794,-6.161914411825712,0.0,0.0,0.0,0.0,0.0,0.0,0.8180756666281239,0.3491675073098262,1.428699146680459e-05,2.7408091677312588e-06,0.0,0.0,0.0,0.0,0.0,0.0
0.03420477698877264,-0.00030640039745341384,-0.0021885342007026604,-0.03632001851652339,-0.016930637398375234,-0.08345570109981387,-0.7594833991692136,0.14758180895813316,0.06440160973267732,-0.9865839255821186,-0.026910966379183263,-10.9999885813001,10.999997224907379,-6.749042500415292,0.0,0.0,0.0,0.0,0.0,0.0,0.499068813282004,4.739133640832937e-06,2.2929820098964897e-05,0.00014738613484895834,0.0,0.0,0.0,0.0,0.0,0.0
0.05130716548315896,-0.0006217749358029379,-0.0036070392436412225,-0.05078572305863069,-0.020227541804659778,-0.08222278625449864,-0.931926460994007,0.2429052665260873,0.11019337185981623,-0.9560474273437648,-0.12176932684967652,-10.999988522546783,10.999998045577923,-6.999996528975807,0.0,0.0,0.0,0.0,0.0,0.0,0.508192945488131,1.8522950420793017e-05,0.2541119916341439,0.2541107321731759,0.0,0.0,0.0,0.0,0.0,0.0
0.06840955397754528,-0.0010491782076878166,-0.004978316924132065,-0.06824679899298035,-0.03026230991645865,-0.07783560009924116,-1.1094332325673986,0.33300069817114114,0.1546934986327649,-0.9051404131757173,-0.21424586095040238,-10.999992430473155,10.999998063758433,-6.9999908673967095,0.0,0.0,0.0,0.0,0.0,0.0,7.5378839846279835,7.099512266560974,9.23049413319706,9.229656151562672,0.0,0.0,0.0,0.0,0.0,0.0
0.0855119424719316,-0.005049939562664315,-0.004818648778503106,-0.09160703237935235,-0.4508312765813962,0.10194193426806364,-1.601807715700535,0.4182708872976352,0.18880777874362592,-0.836627521687467,-0.2990910855913861,-10.999982559874818,10.999997121889086,-5.077101908555247,0.0,0.0,0.0,0.0,0.0,0.0,3.0604917753808993,2.920674247411366,9.230492321504418,9.230496214883908,0.0,0.0,0.0,0.0,0.0,0.0
0.10261433096631792,-0.015778988846376643,-0.0018307472543995327,-0.12177988973274831,-0.8100906616947521,0.2486390348069964,-1.909264098869857,0.5066561917055044,0.19079342620748846,-0.7585665441591927,-0.36259367066299253,-10.996754355668457,10.999995961052521,1.2003914140479495,0.0,0.0,0.0,0.0,0.0,0.0,9.141490569503878,9.230469176686077,9.230250632128884,9.230498235655611,0.0,0.0,0.0,0.0,0.0,0.0
0.11971671946070424,-0.03457208301452805,0.004326788676669343,-0.15654024785225842,-1.3903761387863975,0.47040086814416704,-2.127961166248621,0.5949684163807801,0.16770405633660168,-0.6723026630674253,-0.4073046307495712,-10.99592502852452,10.9999948722541,1.2450533567416302,0.0,0.0,0.0,0.0,0.0,0.0,6.678593121980288,9.230486919373293,6.732445148897957,9.230498526857833,0.0,0.0,0.0,0.0,0.0,0.0
0.13681910795509056,-0.06265564779878119,0.013906816358688151,-0.19374954617850496,-1.892805106821467,0.6433335781373734,-2.204670644366658,0.6677193141089358,0.16554321733845404,-0.5913963909015223,-0.420709721289846,-2.000986007142161,10.999992232920698,1.2721473803082817,0.0,0.0,0.0,0.0,0.0,0.0,9.21305202480331,9.230490673581901,9.230475148935303,9.230498573962114,0.0,0.0,0.0,0.0,0.0,0.0
0.1539214964494769,-0.0999565884962119,0.02615820248096245,-0.23123339824365188,-2.4667581619663412,0.7762207968439346,-2.1637212816920326,0.7276829356852469,0.18603601098479924,-0.5203195387830872,-0.4063689521726773,-2.137417057359345,10.999961433270702,1.2809153848101316,0.0,0.0,0.0,0.0,0.0,0.0,9.230486500563947,9.230479861270913,9.230426839901162,9.230498709810377,0.0,0.0,0.0,0.0,0.0,0.0
0.17102388494386322,-0.14688223315648927,0.04000414564121711,-0.2672589102341421,-3.0145998887124694,0.8297749752781817,-2.035252458647919,0.7810740298734055,0.20377191954461885,-0.44399769738388023,-0.3889298257786773,-2.305719474478758,10.965751541434612,1.2808948558457702,0.0,0.0,0.0,0.0,0.0,0.0,9.230491360731993,9.23041430090073,5.747222412115129,9.230498766268934,0.0,0.0,0.0,0.0,0.0,0.0
0.18812627343824956,-0.20241085228662797,0.05410982840409982,-0.30073443394720845,-3.474777622486857,0.8089593626203903,-1.8740945554157558,0.808634738079149,0.23333448173494273,-0.3941088001968806,-0.36924671103819845,3.9638908811602307,4.63997204762213,-0.47118673915825576,0.0,0.0,0.0,0.0,0.0,0.0,9.23049166837449,6.8223865772781,9.227268389900603,9.2304987714613,0.0,0.0,0.0,0.0,0.0,0.0
0.2052286619326359,-0.26580284595784226,0.0673546018487141,-0.331244470432124,-3.9375855514660327,0.7348990838803567,-1.694094509799903,0.8134676835604955,0.25289646038185576,-0.3829915177479158,-0.35725509858110915,-0.39715417707479256,0.2634402876885292,0.7384998644389238,0.0,0.0,0.0,0.0,0.0,0.0,9.230491411250075,9.19604844495476,8.98678635687515,9.230498759893509,0.0,0.0,0.0,0.0,0.0,0.0
