sim_time_ns,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z
795638561000,0.0,0.0,-0.0,-2.999192237854004,-0.0023331642150878906,-9.340286254882812
795645511000,0.0,0.0,-0.0,-2.999192237854004,-0.0023331642150878906,-9.340286254882812
795652457000,0.0,0.0,-0.0,-2.999192237854004,-0.0023331642150878906,-9.340286254882812
795666286000,0.0,0.0,-0.0,-2.999192237854004,-0.0023331642150878906,-9.340286254882812
795673204000,0.0,0.0,-0.0,-2.999192237854004,-0.0023331642150878906,-9.340286254882812
795680188000,0.0,0.0,-0.0,-2.999192237854004,-0.0023331642150878906,-9.340286254882812
795687103000,0.0,0.0,-0.0,-2.999192237854004,-0.0023331642150878906,-9.340286254882812
795701024000,0.0,0.0,-0.0,-2.999192237854004,-0.0023331642150878906,-9.340286254882812
795707952000,0.0,0.0,-0.0,-2.999192237854004,-0.0023331642150878906,-9.340286254882812
795714938000,0.0,0.0,-0.0,-2.999192237854004,-0.0023331642150878906,-9.340286254882812
795721833000,0.0,0.0,-0.0,-2.999192237854004,-0.0023331642150878906,-9.340286254882812
795735756000,0.0,0.0,-0.0,-2.999192237854004,-0.0023331642150878906,-9.340286254882812
795742741000,0.0,0.0,-0.0,-2.999192237854004,-0.0023331642150878906,-9.340286254882812
795749626000,0.0,0.0,-0.0,-2.999192237854004,-0.0023331642150878906,-9.340286254882812
795756592000,0.0,0.0,-0.0,-2.999192237854004,-0.0023331642150878906,-9.340286254882812
795763591000,0.0,0.0,-0.0,-2.999192237854004,-0.0023331642150878906,-9.340286254882812
795777432000,0.0,0.0,-0.0,-2.999192237854004,-0.0023331642150878906,-9.340286254882812
795784396000,0.0,0.0,-0.0,-2.999192237854004,-0.0023331642150878906,-9.340286254882812
795791304000,0.0,0.0,-0.0,-2.999192237854004,-0.0023331642150878906,-9.340286254882812
795798333000,0.0,0.0,-0.0,-2.999192237854004,-0.0023331642150878906,-9.340286254882812
795812164000,0.0,0.0,-0.0,-2.999192237854004,-0.0023331642150878906,-9.340286254882812
795819128000,0.0,0.0,-0.0,-2.999192237854004,-0.0023331642150878906,-9.340286254882812
795826106000,0.0,0.0,-0.0,-2.999192237854004,-0.0023331642150878906,-9.340286254882812
795833039000,0.0,0.0,-0.0,-2.999192237854004,-0.0023331642150878906,-9.340286254882812
795839901000,0.0,0.0,-0.0,-2.999192237854004,-0.0023331642150878906,-9.340286254882812
795853811000,0.0,0.0,-0.0,-2.999192237854004,-0.0023331642150878906,-9.340286254882812
795860737000,0.0,0.0,-0.0,-2.999192237854004,-0.0023331642150878906,-9.340286254882812
795867777000,0.0,0.0,-0.0,-2.999192237854004,-0.0023331642150878906,-9.340286254882812
795874701000,0.0,0.0,-0.0,-2.999192237854004,-0.0023331642150878906,-9.340286254882812
795881600000,0.0,0.0,-0.0,-2.999192237854004,-0.0023331642150878906,-9.340286254882812
795895528000,0.0,0.0,-0.0,-2.999192237854004,-0.0023331642150878906,-9.340286254882812
795902407000,0.0,0.0,-0.0,-2.999192237854004,-0.0023331642150878906,-9.340286254882812
795909455000,0.0,0.0,-0.0,-2.999192237854004,-0.0023331642150878906,-9.340286254882812
795916358000,0.0,0.0,-0.0,-2.999192237854004,-0.0023331642150878906,-9.340286254882812
795923241000,0.0,0.0,-0.0,-2.999192237854004,-0.0023331642150878906,-9.340286254882812
795937153000,0.0,0.0,-0.0,-2.999192237854004,-0.0023331642150878906,-9.340286254882812
795944156000,0.0,0.0,-0.0,-2.999192237854004,-0.0023331642150878906,-9.340286254882812
795951024000,0.0,0.0,-0.0,-2.999192237854004,-0.0023331642150878906,-9.340286254882812
795958028000,0.0,0.0,-0.0,-2.999192237854004,-0.0023331642150878906,-9.340286254882812
795964961000,0.0,0.0,-0.0,-2.999192237854004,-0.0023331642150878906,-9.340286254882812
795978917000,0.0,0.0,-0.0,-2.999192237854004,-0.0023331642150878906,-9.340286254882812
795985757000,0.0,0.0,-0.0,-2.999192237854004,-0.0023331642150878906,-9.340286254882812
795992747000,0.0,0.0,-0.0,-2.999192237854004,-0.0023331642150878906,-9.340286254882812
795999647000,0.0,0.0,-0.0,-2.999192237854004,-0.0023331642150878906,-9.340286254882812
796006571000,0.0,0.0,-0.0,-2.999192237854004,-0.0023331642150878906,-9.340286254882812
796020503000,0.0,0.0,-0.0,-2.999192237854004,-0.0023331642150878906,-9.340286254882812
796027423000,0.0,0.0,-0.0,-2.999192237854004,-0.0023331642150878906,-9.340286254882812
796034356000,0.0,0.0,-0.0,-2.999192237854004,-0.0023331642150878906,-9.340286254882812
796041310000,0.0,0.0,-0.0,-2.999192237854004,-0.0023331642150878906,-9.340286254882812
796048299000,0.0,0.0,-0.0,-2.999192237854004,-0.0023331642150878906,-9.340286254882812
796062201000,0.0,0.0,-0.0,-2.999192237854004,-0.0023331642150878906,-9.340286254882812
796069077000,0.0,0.0,-0.0,-2.999192237854004,-0.0023331642150878906,-9.340286254882812
