t,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z,a_c,w_x,w_y,w_z
0.08162253922974465,-0.08273911009567105,-0.04853716885718733,-0.17907005129164885,-2.8742765229794975,-1.513948408864419,-4.2543672552548255,0.800317620286414,-0.3379162494373849,0.4180084642466512,-0.2656562419113466,78.26384706797661,-8.890146065245384,10.99727021083982,-6.989077316317886
0.1632450784594893,-0.5555809824954112,-0.212026397198262,-0.5552020017624842,-8.80055370046114,-1.9719014597050255,-4.415230988289073,0.569321947756075,-0.2884048218538137,0.6770228615468579,-0.3665195247396105,78.2724557100175,-1.631213198464789,8.800017062754236,-0.8488682089151356
0.24486761768923393,-1.510459710217871,-0.33894593300140474,-0.8670968180123977,-14.521687838413103,-1.3051282448866757,-3.385244697365988,0.6167042149538181,-0.3602978394201499,0.5790066740670998,-0.39321205584503854,78.27153156397327,0.6569425680223291,-2.618145764786263,-1.8375649014899194
0.3264901569189786,-2.9087966024175866,-0.4360035510707533,-1.1166726633788284,-19.62068426377647,-1.0339273148662533,-2.6901323884363415,0.5813856598100361,-0.38205181657578424,0.5804917413951126,-0.4231558865220112,78.27033386061042,-0.2301163520091411,0.5785311847802657,-1.0887673492423604
0.40811269614872325,-4.692521927237535,-0.5067403830676118,-1.3042845823740625,-23.953723907385587,-0.7259172486949355,-1.920384009917071,0.57366116374612,-0.4066571104693199,0.560019090862397,-0.43809433133496667,78.26925502342486,0.0019221615157905625,-0.2971183653951335,-0.8347106691707369
0.4897352353784679,-6.797755106417165,-0.5575587082757097,-1.4311606657694356,-27.502320158719506,-0.5299361702239269,-1.1874755300419984,0.5616126858539626,-0.425014372804828,0.5507155238169491,-0.4479640753986723,78.26833880088702,-0.1428046495609194,-0.06416465907715012,-0.6127359105859596
0.5713577746082126,-9.162316629275466,-0.59554536104513,-1.4981028860955539,-30.32134523449953,-0.4179507961538425,-0.45302230456342085,0.5521852110415317,-0.44320873446791553,0.5419304363638462,-0.45274052583024776,78.26758033328639,-0.18768926297483646,-0.14365765703011787,-0.5062540174827924
0.6529803138379572,-11.730349745642165,-0.6285831674220282,-1.5047476446494772,-32.505442538139846,-0.40857230301113856,0.2949582148031139,0.5426667827138782,-0.46146659737343665,0.5358681129683733,-0.4532228080712746,78.26696105051062,-0.27676851225302174,-0.15294854210151465,-0.42042488201572087
0.7346028530677018,-14.454364566365852,-0.665184742074216,-1.4487500055722784,-34.16091350972113,-0.5071706899744449,1.0870964089049602,0.5332047486557889,-0.48106918386693065,0.5315157787161309,-0.4491761430966963,78.26645937186387,-0.3724789098602405,-0.19710017181018294,-0.35789779199056654
0.8162253922974464,-17.29532616731847,-0.7146360630486486,-1.3250858331399635,-35.38605741333962,-0.7254591158067656,1.959868129971907,0.5232787179382792,-0.5027911603952204,0.5289333032158039,-0.440013677660887,78.26605848697805,-0.49176719775942973,-0.25157434731717354,-0.30291055067510575
0.897847931527191,-20.22147528450132,-0.787267060087659,-1.125398172198052,-36.259311468120906,-1.0779346523407884,2.957796544489566,0.5124265527191121,-0.5274567687405569,0.5278683033348827,-0.42492901679429546,78.26575376554241,-0.634081956990513,-0.3248363432157092,-0.2564266565257575
