t_s,regime,anchored,pass_armed,passing,gi,consec_det,det_range_m,trk_range_m,trk_az,trk_el,est_roll,est_pitch,est_yaw,thr,cmd_roll_rps,cmd_pitch_rps,cmd_yaw_rps,tsv_s,tick_dt_ms,nav_ms
59.0844,settle,0,0,0,0,1,10.4341,10.4341,0.0051,-0.0196,0.0000,0.0000,0.0000,0.2656,0.0000,0.0000,-0.0000,inf,0.0000,21.2116
59.1399,settle,0,0,0,0,2,10.6072,10.5207,0.0056,-0.0188,-0.0000,-0.3107,-0.0088,0.2784,0.0000,0.0000,-0.0000,inf,49.9357,525.3660
59.6749,settle,1,0,0,0,3,10.5141,10.5174,0.0049,-0.0193,-0.0001,-0.3106,-0.0051,0.2734,0.0000,0.0000,-0.0000,inf,539.7462,498.0002
60.1957,egress,1,0,0,0,4,9.8762,10.1968,0.0070,-0.0260,0.0001,-0.3106,-0.0113,0.2734,0.0127,1.5000,-0.0616,inf,513.2193,499.4092
60.7096,pursuit,1,0,0,0,5,8.2791,9.2380,0.0074,-0.0395,0.0000,-0.3106,-0.0100,0.6000,0.0170,1.5000,-0.0759,inf,513.8280,504.2731
61.2306,pursuit,1,0,0,0,6,7.4634,8.3507,0.0088,0.0013,0.0531,-1.1146,-0.0749,0.0500,0.2762,1.5000,-0.2311,inf,519.2148,501.0574
61.7446,reacq,1,0,0,0,0,-1.0000,8.3507,0.0088,0.0013,2.9928,-1.2204,-3.0299,0.3718,0.0000,0.0000,0.0000,inf,516.9055,306.2385
62.0642,reacq,1,0,0,0,0,-1.0000,8.3507,0.0088,0.0013,3.0221,-0.7408,-3.0243,0.3718,0.0000,0.0000,0.0000,inf,313.6707,335.6405
62.4045,reacq,1,0,0,0,0,-1.0000,8.3507,0.0088,0.0013,3.0329,-0.7222,-3.0706,0.3718,0.0000,0.0000,0.0000,inf,342.2515,326.9732
62.7378,reacq,1,0,0,0,0,-1.0000,8.3507,0.0088,0.0013,3.0371,-0.7182,-3.0994,0.3718,0.0000,0.0000,0.0000,inf,334.2895,321.6141
