t_s,regime,in_settle,anchored,consec_det,det,det_range_m,est_roll,est_pitch,est_yaw,thr,cmd_roll_rps,cmd_pitch_rps,cmd_yaw_rps,tsv_s
58.074,settle,1,0,1,1,10.22,+0.0000,+0.0000,+0.0000,0.266,+0.000,+0.000,-0.000,inf
58.123,settle,1,0,2,1,10.34,+0.0002,-0.3107,-0.0149,0.278,+0.025,+0.600,-0.000,inf
58.616,settle,1,1,3,1,10.23,+0.0001,-0.3106,-0.0121,0.278,+0.019,+0.600,-0.000,inf
59.137,pursuit,0,1,4,1,25.91,+0.0140,-0.6210,-0.0149,0.326,+2.194,-0.467,-1.500,inf
59.630,pursuit,0,1,5,1,9.58,+0.0319,-0.9170,-0.0281,0.436,+0.295,+2.508,-0.010,inf
60.137,pursuit,0,1,6,1,29.70,+1.4985,-0.2959,-0.4187,0.530,+3.427,-1.839,-0.934,inf
60.651,reacq,0,1,0,0,-1.00,+1.9587,-0.0298,-1.8025,0.372,+0.600,-0.600,-0.000,inf
