t,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z,a_c,w_x,w_y,w_z
0.06835288818644343,-0.047600235171800176,0.020579460611220773,-0.12857030497223143,-2.0265817457422823,0.7847246615888179,-4.0363450044541835,0.8792071697222456,0.21145657509313404,0.36041051181515404,0.22887798612439209,78.25919370925824,6.452013150033947,10.996930980358766,6.983579373579245
0.13670577637288686,-0.34615557715883494,0.09768297036411198,-0.45923129407595337,-6.932115396177959,1.183017084582601,-5.034270425540243,0.5636798520850804,0.3431554522863693,0.6331967644108799,0.40443938663680795,78.27097080171778,5.5238509279754835,10.962340750656203,6.578436244586758
0.2050586645593303,-1.0017039056001504,0.15894901487753743,-0.7801274366621224,-12.252536223951532,0.6594122004582027,-4.450113374518353,0.597117213288778,0.35395241462301025,0.5832063462267201,0.4219468087268987,78.27102941636028,-1.074326265296186,-1.39693082848113,0.5954390284614056
0.2734115527457737,-2.021244611072089,0.18991766510507202,-1.0706709846601266,-17.579522124997478,0.22611622696134456,-4.001839054480052,0.5743763993283627,0.3607146647480678,0.6024615329791887,0.42073377909583737,78.27015113766855,0.6121875825878224,0.628528649136017,0.175571076243707
0.34176444093221714,-3.4048938016672814,0.18834222867780148,-1.322899209333565,-22.9058853535865,-0.2737190566144308,-3.3646949277522835,0.5700922998434349,0.36238045013671705,0.6077879666847626,0.4174557277298108,78.26911672894667,0.19657121887973517,0.10993328726021356,-0.029205236744805775
0.41011732911866056,-5.15252860852333,0.15183790855090015,-1.5277680965226519,-28.22847551612353,-0.8023956122976781,-2.6012818561008975,0.5633787062809849,0.3587306245864271,0.6228996571807353,0.4073246885205699,78.26790763385236,0.37508174415500734,0.3086493862284567,-0.31215034700443994
0.478470217305104,-7.263635137281053,0.07756377688683115,-1.6744696343473933,-33.53993125877325,-1.3785954424896703,-1.6605374970150406,0.559312470423226,0.34922069604442313,0.6418168169663336,0.3915184073939772,78.26648147189492,0.39950858249876403,0.3334220514844007,-0.5840544231166523
0.5468231054915474,-9.737157563527797,-0.03783516247162244,-1.7500679700295192,-38.83053624943111,-2.007664729381035,-0.5132406328734408,0.5552385569118417,0.3328798344788722,0.6667179139785466,0.3693100388205204,78.26478099062808,0.47663830975029525,0.44439619518188167,-0.8783002520352292
0.6151759936779909,-12.571136658605724,-0.19837789469093284,-1.738822173543562,-44.083409734320256,-2.701375835509903,0.8891096987334778,0.5500044467415681,0.3083328047770882,0.6975055385957272,0.34046148028217893,78.26273094252441,0.5478761056265047,0.5867961249031177,-1.1913363887644837
0.6835288818644344,-15.76212764055894,-0.40892548315066174,-1.62131681350484,-49.270795179150035,-3.473280817726419,2.6076806996643724,0.5409799508665306,0.2737470544753598,0.7345183631427431,0.30477587104195125,78.260234647179,0.6222569576489625,0.8029485171459745,-1.5251659175801302
0.7518817700508779,-19.30417508465498,-0.6754040261894634,-1.3732709256313818,-54.345201882621524,-4.341082741789914,4.7240707927874155,0.5243753564004634,0.2267856659492146,0.7775082043877499,0.26283458711575136,78.2571757756417,0.675104595808015,1.1213400230230968,-1.871343336299856
0.8202346582373213,-23.18700543190704,-1.0050402473360218,-0.9640168536958588,-59.22457403527661,-5.324128768296568,7.344416753117998,0.49477306314016856,0.16480798505582983,0.8254771642631652,0.21593344406690118,78.25343994946313,0.6824477849032807,1.5772891438992478,-2.2236613611236784
0.8483749077845816,-24.88123056022396,-1.160112319334329,-0.7405210123789182,-61.19281753486404,-5.670927295073923,8.540409796978066,0.5089957111493982,0.16950003908745961,0.8248583861317502,0.178335225769235,78.20283183657769,2.1953495356185995,-1.3689699946903835,-1.2582254364918724
0.8765151573318418,-26.631199927382927,-1.3225078439081814,-0.4833926521009026,-63.1856649660833,-5.837085984772508,9.732557893205463,0.5255412147739364,0.17689214033530146,0.8218068373358838,0.13096045763447842,78.1954871894885,2.8079659282821527,-1.7455302608935004,-1.454025124798316
0.9046554068791021,-28.437471578502883,-1.4865454808105556,-0.19291339613087566,-65.19119644058384,-5.781523912873094,10.909006083090567,0.540951828981201,0.18615778044565745,0.8168033127631802,0.07449866739565501,78.1875513393756,3.40559869183712,-1.884194448556172,-1.6492526537707035
0.9327956564263623,-30.300084258672737,-1.6454476837023002,0.13029551922203852,-67.18490939934792,-5.465310791913677,12.05577560225061,0.5540752480004937,0.19816302756866583,0.8085016993530447,0.00762359634239274,78.17940045101723,4.129578358030711,-2.031033267117844,-1.835337632146185
0.9609359059736226,-32.21820875389263,-1.7913367748360807,0.4851220736712838,-69.12901239985474,-4.851098986969702,13.152233850543016,0.5625601185163085,0.21294640447572208,0.7958446292610447,-0.06936956596129332,78.1717516983222,4.8852093403298955,-2.0805832753089786,-2.010943058350888
0.9890761555208828,-34.18975113162578,-1.9154423506794829,0.8697983531920952,-70.97185711283747,-3.914703251187151,14.172666253417267,0.5638996974244674,0.2297731456387878,0.7780751933596884,-0.15434084679166127,78.16567828781584,5.553566148045215,-1.9918878933460469,-2.172900357160105
1.017216405068143,-36.21103496720624,-2.0086322824314715,1.2817998852690087,-72.6543215798305,-2.6563486869732476,15.089999377798224,0.5560479584699236,0.2470433374918663,0.7554878293663799,-0.24293804179681092,78.16237255710182,5.976247232196185,-1.7309694313886268,-2.3163748204146146
1.0453566546154032,-38.276759014391374,-2.0622004486659256,1.7178984168657527,-74.12249898628627,-1.1060854568090372,15.882489054423687,0.5383124139365043,0.26285949407764714,0.7296937054688126,-0.32965447528179836,78.1626289296669,6.046838410039152,-1.3184838184920031,-2.434657506477563
1.0734969041626634,-40.38034020855499,-2.068650000262387,2.1743973596277777,-75.34110429546284,0.6821051151388341,16.539137366914158,0.5118481785976796,0.2755386239747808,0.7030876865788311,-0.4095825155079069,78.16638173040943,5.755669405781565,-0.8427370367264052,-2.526769210708258
1.1016371537099237,-42.51454898497312,-2.0221787880084254,2.647473935535682,-76.29954688913688,2.644445923690031,17.06225983121248,0.4784701001124709,0.284310503850523,0.6784216363415797,-0.4795603328327304,78.17274666578949,5.193397779412747,-0.3448269134929576,-2.5988449636290114
1.129777403257184,-44.67220100038082,-1.9187498733450812,3.1334820748114716,-77.01148921354309,4.721026957948203,17.459033798729333,0.4424806344404906,0.28734669392641116,0.6561063610055221,-0.539599175429399,78.18052180946874,4.490013095904655,-0.13336693111157352,-2.6734331299979757
1.1579176528044441,-46.846633218119976,-1.7558320518782562,3.629205846494459,-77.4931300440289,6.866598441614133,17.763047996758242,0.39664940402573257,0.2924770161300199,0.6430193730936965,-0.5862188592212018,78.18867320610038,3.77596691563734,0.9709876775710771,-2.719292505005096
1.1873433103381408,-49.13348285901185,-1.5210709735827297,4.1607550616365465,-77.96370616774077,9.050994834057352,18.52030531000648,0.31520650574041653,0.29517020971629265,0.7841776034882397,-0.44562864987276163,78.17943314339375,-10.155875392829532,10.347294050923159,-2.1599131640109666
1.2167689678718374,-51.435709333465624,-1.2275079423136452,4.727949674434997,-78.5179335616211,10.79621686712872,20.164855263367574,0.22785185619256657,0.3050594997491578,0.8859669566739115,-0.26473531170701303,78.09292838909802,-10.852363145932113,10.857600698335435,-0.2878589737894413
